Discipline,Gender,Event,order,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Team Event
CR,W,012,3,Women's Road Race,Course sur route - femmes,Prova de estrada feminina,Carrera de ruta femenina,Women's Road Race,Course sur route - femmes,Prova de estrada feminina,Carrera de ruta femenina,
CS,0,000,,Canoe Slalom,"Canoë-kayak, slalom",Canoagem slalom,Canotaje eslalon,Canoe Slalom,"Canoë-kayak, slalom",Canoagem slalom,Canotaje eslalon,
CS,0,WWS,,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Piragüismo Eslalon,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Piragüismo Eslalon,
CS,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
CS,M,110,4,Kayak (K1) Men,Kayak monoplace (K1) - hommes,Caiaque individual (K1) masculino,Kayak (K1) masculino,Kayak (K1) Men,Kayak monoplace (K1) - hommes,Caiaque individual (K1) masculino,Kayak (K1) masculino,
CS,M,210,1,Canoe Single (C1) Men,Canoë monoplace (C1) - hommes,Canoa individual (C1) masculina,Canoa individual (C1) masculina,Canoe Single (C1) Men,Canoë monoplace (C1) - hommes,Canoa individual (C1) masculina,Canoa individual (C1) masculina,
CS,M,220,3,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,Canoa doble (C2) masculina,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,Canoa doble (C2) masculina,
CS,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
CS,W,110,2,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,Kayak (K1) femenino,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,Kayak (K1) femenino,
CT,0,000,,Cycling Track,Cyclisme sur piste,Ciclismo de pista,Ciclismo de pista,Cycling Track,Cyclisme sur piste,Ciclismo de pista,Ciclismo de pista,
CT,0,ROV,,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,
CT,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
CT,M,001,1,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,Velocidad masculino,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,Velocidad masculino,
CT,M,008,5,Men's Keirin,Keirin - hommes,Keirin masculino,Keirin masculino,Men's Keirin,Keirin - hommes,Keirin masculino,Keirin masculino,
CT,M,010,9,Men's Omnium,Omnium - hommes,Omnium masculino,Ómnium masculino,Men's Omnium,Omnium - hommes,Omnium masculino,Ómnium masculino,
CT,M,401,3,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,Velocidad por equipos masculino,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,Velocidad por equipos masculino,Y
CT,M,402,7,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,Persecución por equipos masculino,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,Persecución por equipos masculino,Y
CT,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
CT,W,001,2,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,Velocidad femenino,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,Velocidad femenino,
CT,W,008,6,Women's Keirin,Keirin - femmes,Keirin feminino,Keirin femenino,Women's Keirin,Keirin - femmes,Keirin feminino,Keirin femenino,
CT,W,010,10,Women's Omnium,Omnium - femmes,Omnium feminino,Ómnium femenino,Women's Omnium,Omnium - femmes,Omnium feminino,Ómnium femenino,
CT,W,401,4,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,Velocidad por equipos femenino,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,Velocidad por equipos femenino,Y
CT,W,402,8,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,Persecución por equipos femenino,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,Persecución por equipos femenino,Y
CY,0,000,,Cycling Sport,Cyclisme,Ciclismo,Ciclismo,Cycling Sport,Cyclisme,Ciclismo,Ciclismo,
DV,0,000,,Diving,Plongeon,Saltos ornamentais,Clavados,Diving,Plongeon,Saltos ornamentais,Clavados,
DV,0,AQC,,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,
DV,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
DV,M,003,1,Men's 3m Springboard,Tremplin 3 m - hommes,Trampolim 3m masculino,Trampolín 3m masculino,Men's 3m Springboard,Tremplin 3 m - hommes,Trampolim 3m masculino,Trampolín 3m masculino,
DV,M,010,3,Men's 10m Platform,Haut-vol 10 m - hommes,Plataforma 10m masculino,Plataforma 10m masculino,Men's 10m Platform,Haut-vol 10 m - hommes,Plataforma 10m masculino,Plataforma 10m masculino,
DV,M,203,5,Men's Synchronised 3m Springboard,Tremplin 3 m synchronisé - hommes,Trampolim 3m sincronizado masculino,Sincronizados trampolín 3m masculino,Men's Synchronised 3m Springboard,Tremplin 3 m synchronisé - hommes,Trampolim 3m sincronizado masculino,Sincronizados trampolín 3m masculino,
DV,M,210,7,Men's Synchronised 10m Platform,Haut-vol 10 m synchronisé - hommes,Plataforma 10m sincronizada masculino,Sincronizados plataforma 10m masculino,Men's Synchronised 10m Platform,Haut-vol 10 m synchronisé - hommes,Plataforma 10m sincronizada masculino,Sincronizados plataforma 10m masculino,
DV,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
DV,W,003,2,Women's 3m Springboard,Tremplin 3 m - femmes,Trampolim 3m feminino,Trampolín 3m femenino,Women's 3m Springboard,Tremplin 3 m - femmes,Trampolim 3m feminino,Trampolín 3m femenino,
DV,W,010,4,Women's 10m Platform,Haut-vol 10 m - femmes,Plataforma 10m feminino,Plataforma 10m femenino,Women's 10m Platform,Haut-vol 10 m - femmes,Plataforma 10m feminino,Plataforma 10m femenino,
DV,W,203,6,Women's Synchronised 3m Springboard,Tremplin 3 m synchronisé - femmes,Trampolim 3m sincronizado feminino,Sincronizados trampolín 3m femenino,Women's Synchronised 3m Springboard,Tremplin 3 m synchronisé - femmes,Trampolim 3m sincronizado feminino,Sincronizados trampolín 3m femenino,
DV,W,210,8,Women's Synchronised 10m Platform,Haut-vol 10 m synchronisé - femmes,Plataforma 10m sincronizada feminino,Sincronizados plataforma 10m femenino,Women's Synchronised 10m Platform,Haut-vol 10 m synchronisé - femmes,Plataforma 10m sincronizada feminino,Sincronizados plataforma 10m femenino,
EQ,0,000,,Equestrian,Sports équestres,Hipismo,Ecuestre,Equestrian,Sports équestres,Hipismo,Ecuestre,
EQ,0,EQC,,Olympic Equestrian Centre,Centre Olympique d'Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centre Olympique d'Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,
EQ,X,001,3,Dressage Individual,Dressage individuel,Adestramento individual,Adiestramiento individual,Dressage Individual,Dressage individuel,Adestramento individual,Adiestramiento individual,N
EQ,X,002,5,Jumping Individual,Saut d'obstacles individuel,Saltos individual ,Salto individual,Jumping Individual,Saut d'obstacles individuel,Saltos individual ,Salto individual,N
EQ,X,003,1,Eventing Individual,Concours complet individuel,Concurso Completo Equitação individual,Concurso completo ecuestre individual,Eventing Individual,Concours complet individuel,Concurso Completo Equitação individual,Concurso completo ecuestre individual,N
EQ,X,401,4,Dressage Team,Dressage par équipes,Adestramento por equipes,Adiestramiento por equipos,Dressage Team,Dressage par équipes,Adestramento por equipes,Adiestramiento por equipos,Y
EQ,X,402,6,Jumping Team,Saut d'obstacles par équipes,Saltos por equipes,Salto por equipos,Jumping Team,Saut d'obstacles par équipes,Saltos por equipes,Salto por equipos,Y
EQ,X,403,2,Eventing Team,Concours complet par équipes,Concurso Completo Equitação por equipes,Concurso completo ecuestre por equipos,Eventing Team,Concours complet par équipes,Concurso Completo Equitação por equipes,Concurso completo ecuestre por equipos,Y
FB,0,000,,Football,Football,Futebol,Fútbol,Football,Football,Futebol,Fútbol,
FB,0,AMZ,,Amazônia Arena,Amazônia Arena,Arena da Amazônia,Arena Amazônia,Amazônia Arena,Amazônia Arena,Arena da Amazônia,Arena Amazônia,
FB,0,FNA,,Fonte Nova Arena,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,
FB,0,MGA,,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,
FB,0,MIN,,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,
FB,0,MRC,,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,
FB,0,OLS,,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,
FB,0,SPA,,Corinthians Arena,Corinthians Arena,Arena Corinthians,Arena Corinthians,Corinthians Arena,Corinthians Arena,Arena Corinthians,Arena Corinthians,
FB,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
FB,M,400,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,Y
FB,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
FB,W,400,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,Y
FE,0,000,,Fencing,Escrime,Esgrima,Esgrima,Fencing,Escrime,Esgrima,Esgrima,
FE,0,100,,Fencing Individual,Escrime individuelle,Esgrima - competição individual,Esgrima individual,Fencing Individual,Escrime individuelle,Esgrima - competição individual,Esgrima individual,N
FE,0,400,,Fencing Team,Escrime par équipes,Esgrima - competição por equipes,Esgrima por equipos,Fencing Team,Escrime par équipes,Esgrima - competição por equipes,Esgrima por equipos,N
FE,0,CA3,,Carioca Arena 3,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,Carioca Arena 3,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,
FE,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
FE,M,001,1,Men's Foil Individual,Fleuret individuel - hommes,Florete individual masculino,Florete individual masculino,Men's Foil Individual,Fleuret individuel - hommes,Florete individual masculino,Florete individual masculino,
FE,M,002,3,Men's Épée Individual,Épée individuelle - hommes,Espada individual masculina,Espada individual masculina,Men's Épée Individual,Épée individuelle - hommes,Espada individual masculina,Espada individual masculina,
FE,M,003,5,Men's Sabre Individual,Sabre individuel - hommes,Sabre individual masculino,Sable individual masculino,Men's Sabre Individual,Sabre individuel - hommes,Sabre individual masculino,Sable individual masculino,
FE,M,401,7,Men's Foil Team,Fleuret par équipes - hommes,Florete por equipes masculino,Florete por equipos masculino,Men's Foil Team,Fleuret par équipes - hommes,Florete por equipes masculino,Florete por equipos masculino,Y
FE,M,402,8,Men's Épée Team,Épée par équipes - hommes,Espada por equipes masculina,Espada por equipos masculina,Men's Épée Team,Épée par équipes - hommes,Espada por equipes masculina,Espada por equipos masculina,Y
FE,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
FE,W,001,2,Women's Foil Individual,Fleuret individuel - femmes,Florete individual feminino,Florete individual femenino,Women's Foil Individual,Fleuret individuel - femmes,Florete individual feminino,Florete individual femenino,
FE,W,002,4,Women's Épée Individual,Épée individuelle - femmes,Espada individual feminina,Espada individual femenina,Women's Épée Individual,Épée individuelle - femmes,Espada individual feminina,Espada individual femenina,
FE,W,003,6,Women's Sabre Individual,Sabre individuel - femmes,Sabre individual feminino,Sable individual femenino,Women's Sabre Individual,Sabre individuel - femmes,Sabre individual feminino,Sable individual femenino,
FE,W,402,9,Women's Épée Team,Épée par équipes - femmes,Espada por equipes feminina,Espada por equipos femenina,Women's Épée Team,Épée par équipes - femmes,Espada por equipes feminina,Espada por equipos femenina,Y
FE,W,403,10,Women's Sabre Team,Sabre par équipes - femmes,Sabre por equipes feminino,Sable por equipos femenino,Women's Sabre Team,Sabre par équipes - femmes,Sabre por equipes feminino,Sable por equipos femenino,Y
GA,0,000,,Artistic Gymnastics,Gymnastique artistique,Ginástica artística,Gimnasia artística,Artistic Gymnastics,Gymnastique artistique,Ginástica artística,Gimnasia artística,
GA,0,ROA,,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,
GA,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
GA,M,001,2,Men's Floor Exercise,Exercices au sol - hommes,Solo masculino,Suelo - masculino,Men's Floor Exercise,Exercices au sol - hommes,Solo masculino,Suelo - masculino,
GA,M,002,5,Men's Vault,Saut de cheval - hommes,Salto masculino,Salto - masculino,Men's Vault,Saut de cheval - hommes,Salto masculino,Salto - masculino,
GA,M,003,6,Men's Parallel Bars,Barres parallèles - hommes,Barras paralelas masculinas,Barras paralelas - masculino,Men's Parallel Bars,Barres parallèles - hommes,Barras paralelas masculinas,Barras paralelas - masculino,
GA,M,004,7,Men's Horizontal Bar,Barre fixe - hommes,Barra fixa masculina,Barra fija - masculino,Men's Horizontal Bar,Barre fixe - hommes,Barra fixa masculina,Barra fija - masculino,
GA,M,005,4,Men's Rings,Anneaux - hommes,Argolas masculinas,Anillas - masculino,Men's Rings,Anneaux - hommes,Argolas masculinas,Anillas - masculino,
GA,M,006,3,Men's Pommel Horse,Cheval d'arçons - hommes,Cavalo com alças masculino,Caballo con arzones - masculino,Men's Pommel Horse,Cheval d'arçons - hommes,Cavalo com alças masculino,Caballo con arzones - masculino,
GA,M,024,1,Men's Individual All-Around,Concours multiple individuel - hommes,Competição individual geral masculina,Competencia múltiple - masculino,Men's Individual All-Around,Concours multiple individuel - hommes,Competição individual geral masculina,Competencia múltiple - masculino,
GA,M,400,8,Men's Team,Compétition par équipes - hommes,Competição por equipes masculina,Competencia por equipos - masculino,Men's Team,Compétition par équipes - hommes,Competição por equipes masculina,Competencia por equipos - masculino,Y
GA,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
GA,W,001,13,Women's Floor Exercise,Exercices au sol - femmes,Solo feminino,Suelo - femenino,Women's Floor Exercise,Exercices au sol - femmes,Solo feminino,Suelo - femenino,
GA,W,002,10,Women's Vault,Saut de cheval - femmes,Salto feminino,Salto - femenino,Women's Vault,Saut de cheval - femmes,Salto feminino,Salto - femenino,
GA,W,007,11,Women's Uneven Bars,Barres asymétriques - femmes,Barras assimétricas femininas,Barras asimétricas - femenino,Women's Uneven Bars,Barres asymétriques - femmes,Barras assimétricas femininas,Barras asimétricas - femenino,
GA,W,008,12,Women's Balance Beam,Poutre d'équilibre - femmes,Barra de equilíbrio feminina,Viga de equilibrio - femenino,Women's Balance Beam,Poutre d'équilibre - femmes,Barra de equilíbrio feminina,Viga de equilibrio - femenino,
GA,W,024,9,Women's Individual All-Around,Concours multiple individuel - femmes,Competição individual geral feminina,Competencia múltiple - femenino,Women's Individual All-Around,Concours multiple individuel - femmes,Competição individual geral feminina,Competencia múltiple - femenino,N
GA,W,400,14,Women's Team,Compétition par équipes - femmes,Competição por equipes feminina,Competencia por equipos - femenino,Women's Team,Compétition par équipes - femmes,Competição por equipes feminina,Competencia por equipos - femenino,Y
GL,0,000,,General,Général,Geral,General,General,Général,Geral,General,
GL,0,AMZ,,Amazônia Arena,Amazônia Arena,Arena da Amazônia,Arena Amazônia,Amazônia Arena,Amazônia Arena,Arena da Amazônia,Arena Amazônia,
GL,0,AQC,,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,
GL,0,BAT,,BAT Place Conditions / Weather Alerts,BAT Conditions/Alertes météorologiques,BAT Condições / Alertas meteorológicos,BAT Condiciones / Avisos meteorológicos,BAT Place Conditions / Weather Alerts,BAT Conditions/Alertes météorologiques,BAT Condições / Alertas meteorológicos,BAT Condiciones locales / Avisos meteorológicos,
GL,0,BHZ,,BHZ Place Conditions / Weather Alerts,BHZ Conditions/Alertes météorologiques,BHZ Condições / Alertas meteorológicos,BHZ Condiciones / Avisos meteorológicos,BHZ Place Conditions / Weather Alerts,BHZ Conditions/Alertes météorologiques,BHZ Condições / Alertas meteorológicos,BHZ Condiciones locales / Avisos meteorológicos,
GL,0,BMX,,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,
GL,0,BRS,,BRS Place Conditions / Weather Alerts,BRS Conditions/Alertes météorologiques,BRS Condições / Alertas meteorológicos,BRS Condiciones / Avisos meteorológicos,BRS Place Conditions / Weather Alerts,BRS Conditions/Alertes météorologiques,BRS Condições / Alertas meteorológicos,BRS Condiciones locales / Avisos meteorológicos,
GL,0,BVA,,Beach Volleyball Arena,Beach Volleyball Arena,Arena de Vôlei de Praia,Arena de Voleibol de Playa,Beach Volleyball Arena,Beach Volleyball Arena,Arena de Vôlei de Praia,Arena de Voleibol de Playa,
GL,0,CA1,,Carioca Arena 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,
GL,0,CA2,,Carioca Arena 2,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,Carioca Arena 2,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,
GL,0,CA3,,Carioca Arena 3,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,Carioca Arena 3,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,
GL,0,COP,,COP Place Conditions / Weather Alerts,COP Conditions/Alertes météorologiques,COP Condições / Alertas meteorológicos,COP Condiciones / Avisos meteorológicos,COP Place Conditions / Weather Alerts,COP Conditions/Alertes météorologiques,COP Condições / Alertas meteorológicos,COP Condiciones locales / Avisos meteorológicos,
GL,0,DAQ,,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,
GL,0,DEO,,DEO Place Conditions / Weather Alerts,DEO Conditions/Alertes météorologiques,DEO Condições / Alertas meteorológicos,DEO Condiciones / Avisos meteorológicos,DEO Place Conditions / Weather Alerts,DEO Conditions/Alertes météorologiques,DEO Condições / Alertas meteorológicos,DEO Condiciones locales / Avisos meteorológicos,
GL,0,DES,,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,
GL,0,EQC,,Olympic Equestrian Centre,Centre Olympique d'Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centre Olympique d'Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,
GL,0,FNA,,Fonte Nova Arena,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,
GL,0,FTA,,Future Arena,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Future Arena,Arena do Futuro,Arena del Futuro,
GL,0,FTC,,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,
GL,0,GLO,,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,
GL,0,LAG,,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,
GL,0,MBT,,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,
GL,0,MGA,,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,
GL,0,MIN,,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,
GL,0,MNU,,MNU Place Conditions / Weather Alerts,MNU Conditions/Alertes météorologiques,MNU Condições / Alertas meteorológicos,MNU Condiciones / Avisos meteorológicos,MNU Place Conditions / Weather Alerts,MNU Conditions/Alertes météorologiques,MNU Condições / Alertas meteorológicos,MNU Condiciones locales / Avisos meteorológicos,
GL,0,MNZ,,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,
GL,0,MRC,,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,
GL,0,MRZ,,MRZ Place Conditions / Weather Alerts,MRZ Conditions/Alertes météorologiques,MRZ Condições / Alertas meteorológicos,MRZ Condiciones / Avisos meteorológicos,MRZ Place Conditions / Weather Alerts,MRZ Conditions/Alertes météorologiques,MRZ Condições / Alertas meteorológicos,MRZ Condiciones locales / Avisos meteorológicos,
GL,0,OAS,,Olympic Aquatics Stadium,Stade olympique de sports aquatiques,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Stade olympique de sports aquatiques,Estádio Aquático Olímpico,Estadio Acuático Olímpico,
GL,0,OGC,,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,
GL,0,OHK,,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,
GL,0,OLS,,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,
GL,0,OSC,,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,
GL,0,OTN,,Olympic Tennis Centre,Centre olympique de tennis,Centro Olímpico de Tênis,Centro Olímpico de Tenis,Olympic Tennis Centre,Centre olympique de tennis,Centro Olímpico de Tênis,Centro Olímpico de Tenis,
GL,0,PON,,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,
GL,0,RC2,,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,
GL,0,RC3,,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,
GL,0,RC4,,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,
GL,0,RC6,,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,
GL,0,ROA,,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,
GL,0,ROV,,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,
GL,0,SBD,,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,
GL,0,SLV,,SLV Place Conditions / Weather Alerts,SLV Conditions/Alertes météorologiques,SLV Condições / Alertas meteorológicos,SLV Condiciones / Avisos meteorológicos,SLV Place Conditions / Weather Alerts,SLV Conditions/Alertes météorologiques,SLV Condições / Alertas meteorológicos,SLV Condiciones locales / Avisos meteorológicos,
GL,0,SPA,,Corinthians Arena,Corinthians Arena,Arena Corinthians,Arena Corinthians,Corinthians Arena,Corinthians Arena,Arena Corinthians,Arena Corinthians,
GL,0,SPL,,SPL Place Conditions / Weather Alerts,SPL Conditions/Alertes météorologiques,SPL Condições / Alertas meteorológicos,SPL Condiciones / Avisos meteorológicos,SPL Place Conditions / Weather Alerts,SPL Conditions/Alertes météorologiques,SPL Condições / Alertas meteorológicos,SPL Condiciones locales / Avisos meteorológicos,
GL,0,WWS,,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Piragüismo Eslalon,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Piragüismo Eslalon,
GL,0,YOA,,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,
GO,0,000,,Golf,Golf,Golfe,Golf,Golf,Golf,Golfe,Golf,
GO,0,OGC,,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,
GO,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
GO,M,001,1,Men's Individual Stroke Play,Stroke Play individuel - hommes,Jogo por tacadas individual masculino,Stroke play individual masculino,Men's Individual Stroke Play,Stroke Play individuel - hommes,Jogo por tacadas individual masculino,Stroke play individual masculino,
GO,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
GO,W,001,2,Women's Individual Stroke Play,Stroke Play individuel - femmes,Jogo por tacadas individual feminino,Stroke play individual femenino,Women's Individual Stroke Play,Stroke Play individuel - femmes,Jogo por tacadas individual feminino,Stroke play individual femenino,
GR,0,000,,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica rítmica,Gimnasia rítmica,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica rítmica,Gimnasia rítmica,
GR,0,ROA,,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,
