No.,"Common Codes
Version",CCN,Code set nr,Code Set,Code Set Owner,Date Raised,Status ,Description,Next steps
184,,CCN TCC10-16,TCC10,Event Unit - Olympic,Jam Mulcare,2011-02-03T00:00:00+00:00,Closed,Changes to names of Men's and Women's preliminary events,Complete--change has been implemented and all stakeholders have been informed
185,,CCN TCC04-03,TCC04,Discipline - Olympic,James Savage,2011-02-03T00:00:00+00:00,Closed,Addition of VB Volleyball Sport,Complete--change has been implemented and all stakeholders have been informed
186,,CCN TCC10-17,TCC10,Event Unit - Olympic,Jam Mulcare,2011-02-07T00:00:00+00:00,Closed,"Addition of 2 SA Women’s Match Racing Finals codes, addition of 3 Women’s Match Racing - Round Robin codes",Complete--change has been implemented and all stakeholders have been informed
187,,CCN TCC07-02, TCC07,Discipline Gender - Paralympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,Addition of HBM and HBW to code set,Complete--change has been implemented and all stakeholders have been informed
188,,CCN TCC08-07,TCC08,Event - Olympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,Change description of HBM000 and HBW000 short descriptions to Handball - Men and Handball - Women,Complete--change has been implemented and all stakeholders have been informed
189,,CCN TCC10-18,TCC10,Event Unit - Olympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,"Deletion of HB Men's/Women's Placement codes, addition of HB general codes and amendment of severl code descriptions",Complete--change has been implemented and all stakeholders have been informed
190,,CCN TCC11-03,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,"Deletion of Men's/Women's GB codes, addition of Men's Women's Daily Schedules for GB and Technical Meeting",Complete--change has been implemented and all stakeholders have been informed
191,,CCN TCC25-15,TCC25,Phase - Olympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,Amendment to HB Men's/Women's medal matches and Semifinals descriptions,Complete--change has been implemented and all stakeholders have been informed
192,,CCN TCC26-03,TCC26,Phase - Paralympic,Jam Mulcare,2011-02-01T00:00:00+00:00,Closed,Amendment to GB Men's Women's Preliminaries and addition of Technical Meeting,Complete--change has been implemented and all stakeholders have been informed
193,,CCN TCC13-06,TCC13,Field of Play - Olympic,James Savage,14.02.2011,Closed,"Changes to reflect the changes made to competition venues (Excell, Mall and Hampton Court)",Complete--change has been implemented and all stakeholders have been informed
194,,CCN TCC44-03,TCC44,Field of Play - Paralympic,James Savage,14.02.2012,Closed,"Changes to reflect the changes made to competition venues (Excell, Mall and Hampton Court)",Complete--change has been implemented and all stakeholders have been informed
195,,CCN TCC42-32,TCC42,Venue Non-Competition,Melina Simm,14.02.2013,Closed,Addition of Stratford City Development,Complete--change has been implemented and all stakeholders have been informed
196,,CCN OPP12-18,OPP12,Venue Space,Clare Hartley,14.02.2011,Closed,Addition of 150 codes as required by FF&E,Complete--change has been implemented and all stakeholders have been informed
197,,CCN OPP12-19,OPP12,Venue Space,Clare Hartley,14.02.2011,Closed,Addition of 10 new codes after review by Sport,Complete--change has been implemented and all stakeholders have been informed
198,,CCN TCC06-12,TCC06,Discipline Gender - Olympic,James Savage,2011-02-24T00:00:00+00:00,Closed,"Addition of TEX Mixed Tennis, addition of AQ0 Aquatics - global code.",Complete--change has been implemented and all stakeholders have been informed
199,,CCN TCC10-20,TCC10,Event Unit - Olympic,Jam Mulcare,28.02.2011,Closed,"EQ: Removal of curly quotes, Shortening of 2 short English names that were too long, More consistency of capitalisation, Removal of inconsistent short names between day 1 and day for dressage",Complete--change has been implemented and all stakeholders have been informed
200,,CCN TCC08-08,TCC08,Event - Olympic,Jam Mulcare,28.02.2011,Closed,"CA sport code added, new CB code added, new AQ code added",Complete--change has been implemented and all stakeholders have been informed
201,,CCN TCC25-16,TCC25,Phase - Olympic,Jam Mulcare,28.02.2011,Closed,"CA sport code added, GT non-comp code name change and addition of AR daily schedule code. Addition of one AQ code for aquatics sport.",Complete--change has been implemented and all stakeholders have been informed
202,,CCN TCC10-21,TCC10,Event Unit - Olympic,Jam Mulcare,28.02.2011,Closed,"One new CB code added, change to one non-comp code name and addition of 31 new AR codes. Amendment to 5 HB code names. Amendment to 20 BMX code names. Addition of one AQ code for aquatics sport.",Complete--change has been implemented and all stakeholders have been informed
203,,CCN TCC11-04,TCC11,Event Unit - Paralympic,Jam Mulcare,28.02.2011,Closed,Addition of 24 new GB codes,Complete--change has been implemented and all stakeholders have been informed
204,,CCN TCC41-18,TCC41,Venue - Competition,Melina Simm,01.03.2011,Closed,Amendment to the BMX Track to become a BMX Circuit,Complete--change has been implemented and all stakeholders have been informed
205,,CCN TCC46-05,TCC46,Training Venues,Anna Price,02.03.2011,Closed,"Deletion of Brampton Manor School, Bacon's College and University College London. Several changes to venue details and addition of one new code, Eltham College",Complete--change has been implemented and all stakeholders have been informed
206,,CCN OPP05-09,OPP05,Functional Area,Jessica Lippett,27.02.2011,Closed,Addition of Last Mile Operations,Complete--change has been implemented and all stakeholders have been informed
207,,CCN OPP16-05,OPP16,Games time functional areas,Jessica Lippett,27.02.2011,Closed,Addition of Last Mile Operations,Complete--change has been implemented and all stakeholders have been informed
208,,CCN TCC42-35,TCC42,Venue Non-Competition,Melina Simm,25.02.2011,Closed,Four new support sites added,Complete--change has been implemented and all stakeholders have been informed
209,,CCN TCC42 - 36,TCC42,Venue Non-Competition,Melina Simm,2011-03-03T00:00:00+00:00,Closed,Addition of address column to code set,Complete--change has been implemented and all stakeholders have been informed
210,,CCN TCC10-22,TCC10,Event Unit - Olympic,Jam Mulcare,2011-03-14T00:00:00+00:00,Closed,"Amendment to SA Elliot codes to change the apostrophe used, for better interation with other technology systems",Complete--change has been implemented and all stakeholders have been informed
211,,CCN TCC43-01,TCC43,Venue - Region,Codes Manager,2011-03-15T00:00:00+00:00,Closed,Cross check that new codes in TCC41 have been added to TCC43,Complete--change has been implemented and all stakeholders have been informed
212,,CCN OPP12-19,OPP12,Venue Space,Greg Wamsley,2011-03-15T00:00:00+00:00,Closed,Addition of 50+ new codes and changes to several descriptions,Complete--change has been implemented and all stakeholders have been informed
213,,CCN OPP15-03,OPP15,Venue Clusters,Melina Simm,2011-03-18T00:00:00+00:00,Closed,Addition of OFH and PFH,Complete--change has been implemented and all stakeholders have been informed
214,,CCN TCC08-09,TCC08,Event - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,New MP code added,Complete--change has been implemented and all stakeholders have been informed
215,,CCN TCC10-23,TCC10,Event Unit - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,Change of Gender code for several BX codes,Complete--change has been implemented and all stakeholders have been informed
216,,CCN TCC10-24,TCC10,Event Unit - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,Addition of 40-50 RO codes and changes to schedule flag on many others,Complete--change has been implemented and all stakeholders have been informed
217,,CCN TCC10-25,TCC10,Event Unit - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,Changes to AT phase codes for men's and women's preliminaries,Complete--change has been implemented and all stakeholders have been informed
218,,CCN TCC10-26,TCC10,Event Unit - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,Changes to 4 BMX english name descriptions,Complete--change has been implemented and all stakeholders have been informed
219,,CCN TCC25-17,TCC25,Phase - Olympic,Jam Mulcare,2011-03-18T00:00:00+00:00,Closed,Changes to AT phase codes for men's and women's preliminaries,Complete--change has been implemented and all stakeholders have been informed
220,,CCN TCC42-37,TCC42,Venue Non-Competition,Melina Simm,2011-03-21T00:00:00+00:00,Closed,Change of name to NOC Fleet Depot,Complete--change has been implemented and all stakeholders have been informed
221,,CCN OPP13-29,OPP13,Village Space,Fiona Connor,2011-03-21T00:00:00+00:00,Closed,Change to two descriptions and addition of 21 new codes,Complete--change has been implemented and all stakeholders have been informed
222,,CCN OPP12-21,OPP12,Venue Space,Melina Simm,2011-03-25T00:00:00+00:00,Closed,Addition of 50+ new codes and changes to several descriptions,Complete--change has been implemented and all stakeholders have been informed
223,,CCN OPP16-07,OPP16,Games time functional areas,Jessica Lippett,2011-03-31T00:00:00+00:00,Closed,Updates to all test event descriptions and addition of Basketball/BMX test event cluster code,Complete--change has been implemented and all stakeholders have been informed
224,,TCC09/10/25/26,TCC09/10/25/26,Multiple,Jam Mulcare,18/0382011,Closed,Change all instances of Medal Ceremony or MC to Victory Ceremony or VC,Complete--change has been implemented and all stakeholders have been informed
224,,CCN TCC10-27,TCC10,Event Unit - Olympic,Jam Mulcare,2011-04-01T00:00:00+00:00,Closed,"Multiple code change requests primarily to descriptions of WR, JU, BX, CB, AT",Complete--change has been implemented and all stakeholders have been informed
225,,CCN TCC17-01,TCC17,Horse Breed,James Savage,2011-04-01T00:00:00+00:00,Closed,Include new code XX for Thoroughbred horses,Complete--change has been implemented and all stakeholders have been informed
226,,CCN OPP12-22,OPP12,Venue Space,Greg Wamsley,2011-04-04T00:00:00+00:00,Closed,General update with new codes and amendments,Complete--change has been implemented and all stakeholders have been informed
227,,CCN OPP17-02,OPP17,Workforce training and volunteer selection centres,Liz Kazimierczyk,2011-04-04T00:00:00+00:00,Closed,Needed to refresh the existing Workforce Training descriptions and add more training locations,Complete--change has been implemented and all stakeholders have been informed
228,,CCN TCC25-18,TCC25,Phase - Olympic,Jam Mulcare,2011-04-04T00:00:00+00:00,Closed,"Change of several AT codes to put ""Race"" infront of ""Walk"" and addition of 28 JU codes",Complete--change has been implemented and all stakeholders have been informed
229,,CCN TCC06-03,TCC06,Discipline Gender - Olympic,Jam Mulcare,2011-04-05T00:00:00+00:00,Closed,Addition of VB0 Volleyball Sport,Complete--change has been implemented and all stakeholders have been informed
230,,CCN TCC08-10,TCC08,Event - Olympic,Jam Mulcare,2011-04-06T00:00:00+00:00,Closed,Addition of VB000 Volleyball Sport,Complete--change has been implemented and all stakeholders have been informed
231,,CCN TCC10-28,TCC10,Event Unit - Olympic,Jam Mulcare,2011-04-07T00:00:00+00:00,Closed,Addition of VB00000 Volleyball Sport,Complete--change has been implemented and all stakeholders have been informed
232,,CCN TCC25-19,TCC25,Phase - Olympic,Jam Mulcare,2011-04-08T00:00:00+00:00,Closed,Addition of VB000 Volleyball Sport,Complete--change has been implemented and all stakeholders have been informed
233,,CCN TCC25-20,TCC25,Phase - Olympic,Jam Mulcare,2011-04-05T00:00:00+00:00,Closed,Changes to WR to reflect original change that was requested for TCC10,Complete--change has been implemented and all stakeholders have been informed
234,,CCN TCC42-19,TCC42,Venue Non-Competition,Melina Simm,2011-04-06T00:00:00+00:00,Closed,Addition of Wembley Hotel,Complete--change has been implemented and all stakeholders have been informed
235,,CCN TCC42-28,TCC42,Venue Non-Competition,Melina Simm,2011-04-13T00:00:00+00:00,Closed,Updates to 10 Football hotel descriptions,Complete--change has been implemented and all stakeholders have been informed
236,,CCN TCC42-39,TCC42,Venue Non-Competition,Melina Simm,2011-04-13T00:00:00+00:00,Closed,Addition of 21 codes relating to the Olympic Park Common Domain,Complete--change has been implemented and all stakeholders have been informed
237,,CCN TCC05-01,TCC05,Discipline - Paralympic,James Savage,2011-04-13T00:00:00+00:00,Closed,Updates to multiple disciplines following James Savage's / Gary Wilkinson's comments,Complete--change has been implemented and all stakeholders have been informed
238,,CCN TCC09-02,TCC09,Discipline Gender - Paralympic,James Savage,2011-04-13T00:00:00+00:00,Closed,Updates to multiple disciplines following James Savage's / Gary Wilkinson's comments,Complete--change has been implemented and all stakeholders have been informed
239,,CCN TCC11-05,TCC11,Event Unit - Paralympic,James Savage,2011-04-13T00:00:00+00:00,Closed,Updates to multiple disciplines following James Savage's / Gary Wilkinson's comments,Complete--change has been implemented and all stakeholders have been informed
240,,CCN TCC26-04,TCC26,Phase - Paralympic,James Savage,2011-04-13T00:00:00+00:00,Closed,Updates to multiple disciplines following James Savage's / Gary Wilkinson's comments,Complete--change has been implemented and all stakeholders have been informed
241,,CCN OPP12-23,OPP12,Venue Space,Greg Wamsley,2011-04-26T00:00:00+00:00,Closed,"Range of additions, edits and deletions to codes and descriptions",Complete--change has been implemented and all stakeholders have been informed
242,,CCN TCC41-19,TCC41,Venue Competition,Melina Simm,2011-05-04T00:00:00+00:00,Pending,Addition of RRR for road race events,Complete--change has been implemented and all stakeholders have been informed
243,,CCN TCC41-20,TCC41,Venue Competition,Melina Simm,2011-05-05T00:00:00+00:00,Closed,Addition of VAB - Velodrome and Basketball sub-precinct,Complete--change has been implemented and all stakeholders have been informed
244,,CCN TCC42-40,TCC42,Venue Non-Competition,Melina Simm,2011-04-27T00:00:00+00:00,Pending,Addition of Omega Warehouse support site,Complete--change has been implemented and all stakeholders have been informed
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-19T00:00:00+00:00,Closed,Corrected 2-character JU Event codes; added leading zero,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-19T00:00:00+00:00,Closed,Corrected 2-character AT Event codes and 1-character AT Event Unit codes; added leading zero,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-19T00:00:00+00:00,Closed,"Deleted AT 100 m Preliminaries with Phase=""4""; correct Phase=""P"" already existed",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,"For MP [G] 001 A 00, changed Event Unit Medal Flag from 1 to 0; there is no medal awarded from this event unit.",Complete--change has been implemented
,,IDS Initiated,TCC06,Discipline Gender - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,VB 0 Global was missing the French translation for Global. Added Général. ,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,CF 0 000 Q added to synchronize this table with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,Changed EQ Eventing Horse Inspection Event code from 403 to 003; modified Short French Name descriptions.,Complete--change has been implemented
,,IDS Initiated,TCC25,Event Unit - Olympic,Jam Mulcare,2011-05-24T00:00:00+00:00,Closed,Changed EQ Eventing Horse Inspection Event code from 403 to 003 for Phase=R.,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,"Curly apostrophe changed to straight apostrophe in the Long English Name descriptions for Women's Match Racing Event 010, all phases.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,Added BX W 000 Z 8 to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,Added HB M 000 0 8 and HB W 000 0 8 to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,Added TT W 400 4 8 to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-20T00:00:00+00:00,Closed,Added RO Phase 8 (Repechages) entries for all events to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-23T00:00:00+00:00,Closed,"Changed Phase=4 to Phase=3 for TT Women's Team Quarter Finals, for all Quarter Final event units.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-24T00:00:00+00:00,Closed,Added WR Phase=N (Draw Phase)for Gender=M and Gender=W.,Complete--change has been implemented
,,IDS Initiated,TCC10,Phase - Olympic,Jam Mulcare,2011-05-24T00:00:00+00:00,Closed,"Added WR Phase=N (Draw Phase), EventUnit=00, for Gender=M and Gender=W.",Complete--change has been implemented
,,IDS Initiated,OCC007,Location - Olympic,ATOS,2011-05-27T00:00:00+00:00,Closed,"Three locations added: MP14, MP15 and MP16. Two of them only for Test Events, and the other for the Games.",Complete--change has been implemented
,,IDS Initiated,OCC016,Location - Olympic,ATOS,2011-05-27T00:00:00+00:00,Closed,Two new venues added: CP1 and CP2. Both for Test Events,Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted CT M 401 2, CT M 402 2 and CT M 402 3",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted Discipline=CT, Gender=M, Event=401 and 402, and Phase=2 to synchronize TCC10 with TCC25.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted CT W 401 2, CT W 402 2 and CT W 402 3",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted Discipline=CT, Gender=W, Event=401 and 402, and Phase=2 to synchronize TCC10 with TCC25.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted Discipline=CT, Gender=W and M, Event=401, Phase=9 and Event Unit=06.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Deleted Discipline=CT, Gender=W and M, Event=008, Phase=8 and Event Unit=04, 53 and 54.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Added CT W 401 8, CT M 401 8, CT W 402 8 and CT M 402 8",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Added  Discipline=CT, Gender=W and M, Event=401 and 402, and Phase=8 to synchronize TCC10 with TCC25.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-09T00:00:00+00:00,Closed,"Added  Discipline=CT, Gender=W and M, Event=402, Phase=1 and Event Unit=03 and 04",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=TT, Event=400, Phase=9 and Gender=M/W, all descriptions: Long English Name, Short English Name, Long French Name and Short French Name.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Phase=4 and Gender=M/W, descriptions for Long English Name and Short English Name.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Phase=5 and Gender=M/W, descriptions for Long English Name and Short English Name.",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Phase=6 and Gender=M/W, descriptions for Long English Name and Short English Name.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Gender=M/W and Phase=4 descriptions for Long English Name and Short English Name and Competition Schedule Description.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Gender=M/W and Phase=5 descriptions for Long English Name and Short English Name and Competition Schedule Description.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Modified for Discipline=JU, Gender=M/W and Phase=6 descriptions for Long English Name and Short English Name and Competition Schedule Description.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,"Added VO 0 000 Q 00, VO 0 000 Q 01 and VO 0 000 N 02 ",Complete--change has been implemented
,,IDS Initiated,TCC25,Phase - Olympic,Jam Mulcare,2011-05-27T00:00:00+00:00,Closed,Added VO 0 000 Q 9 and VO 0 000 N 7 to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,OCC007,Location - Olympic,ATOS,2011-05-27T00:00:00+00:00,Closed,Modified descriptions for BV2 Y HGP,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-31T00:00:00+00:00,Closed,"Deleted GA M 499 event unit=01 and phases=A,B,C.
Deleted GA W 499 event unit=01 and phases=A,B,C,D,E.
Deleted GA X 500 0 01.
Inserted GA M 499 9 event Unit=01,02,03 and GA W 499 9 event Unit=01,02,03,04,05",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-31T00:00:00+00:00,Closed,"Modified all the descriptons for: Discipline=TE, Gender=M and W, Event=001, phase=2, Eventunit=01,02
Discipline=TE, Gender=M and W, Event=001, phase=3, Eventunit=01,02,03,04
Discipline=TE, Gender=M,W and X, Event=002, phase=2, Eventunit=01,02
Discipline=TE, Gender=M,W and X, Event=002, phase=3, Eventunit=01,02,03,04",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-31T00:00:00+00:00,Closed,"Modified for Discipline=AT, Gender=M, Event=900, Phase=0 schedule, cisSchedule and infoSchedule=Y.
Modified for Discipline=AT, Gender=W, Event=700, Phase=0 schedule, cisSchedule and infoSchedule=Y.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-05-31T00:00:00+00:00,Closed,"For all RO phase 8 event unit ""00"", modified schedule=N
all RO phase 8 event unit ""50"" modified schedule=Y",Complete--change has been implemented
,,IDS Initiated,TCC26,Phase - Paralympic,Jam Mulcare,2011-06-10T00:00:00+00:00,Closed,"Modified for CR M 125 M 6, CR W 111 M 6, CT M 028 M 6, CT M 037 M 6, CT M 038 M 6, CT W 038 M 6, RO W 012 M 6, RO M 012 M 6, RO X 022 M 6, RO X 043 M 6, SH M 102 M 6, SH W 103 1 3, SH W 103 M 6, SH X 202 M 6, SH X 203 M 6, SW W 120 M 6, SW W 180 M 6, SW W 410 M 6, SW W 440 M 6, CR M 124 M 6, CR W 113 M 6, SW M 301 M 6, SW M 501 M 6, SW M 521 M 6, SW W 171 M 6, SW W 208 M 6, SW W 332 M 6, SW W 333 M 6, SW W 431 M 6, SW W 531 M 6, SW W 532 M 6, SW W 900 M 6, SW W 901 M 6 descriptions for Long English Name and Short English Name.",Complete--change has been implemented
,,IDS Initiated,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-06-10T00:00:00+00:00,Closed,"Modified for CR M 125 M 00, CR W 111 M 00, CT W 038 M 00, CT M 038 M 00, CT M 028 M 00, CT M 037 M 00, RO M 012 M 00, RO W 012 M 00, RO X 022 M 00, RO X 043 M 00, SH X 202 M 00, SH X 203 M 00, SH M 102 M 00, SH W 103 M 00, SW W 120 M 00, SW W 180 M 00, SW W 410 M 00, SW W 440 M 00, CR M 124 M 00, SW M 301 M 00, SW M 501 M 00, SW M 521 M 00, SW W 171 M 00, SW W 208 M 00, SW W 333 M 00, SW W 332 M 00, SW W 431 M 00, SW W 531 M 00, SW W 532 M 00, SW W 900 M 00, SW W 901 M 00, CT M 026 M 00, CR W 113 M 00 descriptions for Long English Name and Short English Name.",Complete--change has been implemented
,,IDS Initiated,TCC26,Phase - Paralympic,Jam Mulcare,2011-06-10T00:00:00+00:00,Closed,"Added BO 0 000 N, BO 0 000 Z and BO X 000 N",Complete--change has been implemented
,,IDS Initiated,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-06-10T00:00:00+00:00,Closed,"Added BO 0 000 N, BO X 000 N, BO 0 000 Z",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-13T00:00:00+00:00,Closed,Deleted BX M 000 Z and BX W 000 Z ,Complete--change has been implemented
,,IDS Initiated,TCC26,Phase - Paralympic,Jam Mulcare,2011-06-14T00:00:00+00:00,Closed,"Modified descriptions for WT M 001, WT M 002,  WT W 001, WT W 002, WT X 000, WT X 021, WT X 022",Complete--change has been implemented
,,IDS Initiated,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-06-14T00:00:00+00:00,Closed,"Modified descriptions for Discipline=WT, Gender=M, Event= 001 and Phase=0,1,2,3,4,5,6 and M. 
Modified descriptions for Discipline=WT, Gender=M, Event= 002 and Phase=0,1,2,3,4,5 and M.",Complete--change has been implemented
,,IDS Initiated,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-06-14T00:00:00+00:00,Closed,"Modified descriptions for Discipline=WT, Gender=W, Event= 001 and Phase=0,1,2,3,4,5 and M.
Modified descriptions for Discipline=WT, Gender=W, Event= 002 and Phase=0,1,2,3,4 and M.",Complete--change has been implemented
,,IDS Initiated,TCC11,Event Unit - Paralympic,Jam Mulcare,2011-06-14T00:00:00+00:00,Closed,"Modified descriptions for Discipline=WT, Gender=X, Event= 000.
Modified descriptions for Discipline=WT, Gender=X, Event= 021 and Phase=0,1,2,3,4 and M.
Modified descriptions for Discipline=WT, Gender=X, Event= 022 and Phase=0,1,2,3 and M.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-15T00:00:00+00:00,Closed,"Modified descriptions for Discipline=SA, Gender=W, Event= 010 and Phase=1,2 and Event Unit=31, 32, 33, 34, 35, 36, 37,38,39,40,41 and 42.
Modified descriptions for Discipline=SA, Gender=W, Event= 010 and Phase=3.
Modified descriptions for Discipline=SA, Gender=W, Event= 010 and Phase=U.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-15T00:00:00+00:00,Closed,"Modified descriptions for Discipline=FE, Gender=0 and Phase=Z.",Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-20T00:00:00+00:00,Closed,"Modified for Discipline=JU, Gender=M and Phase=3 Competition Schedule Description.",Complete--change has been implemented
,,IDS Initiated,TCC25,Event Unit - Olympic,Jam Mulcare,2011-06-20T00:00:00+00:00,Closed,Deleted GA X 500  to synchronize TCC25 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC08,Event - Olympic,Jam Mulcare,2011-06-20T00:00:00+00:00,Closed,Deleted GA X 500  to synchronize TCC08 with TCC10.,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-21T00:00:00+00:00,Closed,Modified the field Competition Schedule Description for  Discipline=AT and Event=092 and 095,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-06-21T00:00:00+00:00,Closed,Modified the field Competition Schedule Description for  Discipline=EQ and Event=003,Complete--change has been implemented
,,IDS Initiated,TCC17,Horse Breed,Jam Mulcare,2011-06-22T00:00:00+00:00,Closed,"Modified the the length of Id (to 6 characters), ENG Description (to 50 characters) and FRA Description (to 50 characters).",Complete--change has been implemented
,,IDS Initiated,TCC33,Record Type - Paralympic,Jam Mulcare,2011-06-29T00:00:00+00:00,Closed,Added all the Order values,Complete--change has been implemented
,,IDS Initiated,TCC10,Event Unit - Olympic,Jam Mulcare,2011-07-01T00:00:00+00:00,Closed,"Modified for Discipline=WR, Gender=0, Event=000 and Phases=N,Z Competition Schedule Description.
Modified for Discipline=WR, Gender=M,W, Event=000 and Phase=N Competition Schedule Description.
Modified for Discipline=WR, Gender=M, Event=100 and Phase=Y Competition Schedule Description.
Modified for Discipline=WR, Gender=M,W, Event=200 and Phase=Y Competition Schedule Description.",Complete--change has been implemented
