Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,ENG phase Description,FRA phase Description,POR phase Description,SPA phase Description
CS,M,210,2,3,Canoe Single (C1) Men Semi-final,"Canoë mono (C1) - hommes, demi-finale","Canoa individual (C1) masculina, 1/2","Canoa individual (C1) masc, semifinal",Canoe Single (C1) Men Semi-final,"Canoë monoplace (C1) - hommes, demi-finale","Canoa individual (C1) masculina, semifinal","Canoa individual (C1) masculina, semifinal",Semi-final,Demi-finale,Semifinal,Semifinal
CS,M,210,9,3,Canoe Single (C1) Men Hts 1st and 2nd Rn,"C1 - hommes, élim. - manches 1 et 2","C1 masculina, elim, descidas 1 e 2","C1 masculina, elim., 1a y 2a mangas",Canoe Single (C1) Men Heats 1st and 2nd Run,"Canoë monoplace (C1) - hommes, éliminatoires - manches 1 et 2","Canoa individual (C1) masculina, eliminatórias, descidas 1 e 2","Canoa individual (C1) masculina, eliminatorias, 1a y 2a mangas",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2,1a y 2a mangas
CS,M,210,M,6,Canoe Single (C1) Men Victory Ceremony,"Canoë mono (C1) - hom., remise médailles","C1 masculina, cer. premiação","Canoa individual (C1) masc, cer medallas",Canoe Single (C1) Men Victory Ceremony,"Canoë monoplace (C1) - hommes, cérémonie de remise des médailles","Canoa individual (C1) masculina, cerimônia de entrega das medalhas","Canoa individual (C1) masculina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CS,M,220,0,8,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,Canoa doble (C2) masculina,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,Canoa doble (C2) masculina,"","","",
CS,M,220,1,3,Canoe Double (C2) Men Final,"Canoë biplace (C2) - hommes, finale","Canoa dupla (C2) masculina, final","Canoa doble (C2) masculina, final",Canoe Double (C2) Men Final,"Canoë biplace (C2) - hommes, finale","Canoa dupla (C2) masculina, final","Canoa doble (C2) masculina, final",Final,Finale,Final,Final
CS,M,220,2,3,Canoe Double (C2) Men Semi-final,"Canoë biplace (C2) - hommes, demi-finale","Canoa dupla (C2) masculina, semifinal","Canoa doble (C2) masculina, semifinal",Canoe Double (C2) Men Semi-final,"Canoë biplace (C2) - hommes, demi-finale","Canoa dupla (C2) masculina, semifinal","Canoa doble (C2) masculina, semifinal",Semi-final,Demi-finale,Semifinal,Semifinal
CS,M,220,9,3,Canoe Double (C2) Men Hts 1st and 2nd Rn,"C2 - hommes, élim. - manches 1 et 2","C2 masculina, elim, descidas 1 e 2","C2 masculina, elim., 1a y 2a mangas",Canoe Double (C2) Men Heats 1st and 2nd Run,"Canoë biplace (C2) - hommes, éliminatoires - manches 1 et 2","Canoa dupla (C2) masculina, eliminatórias, descidas 1 e 2","Canoa doble (C2) masculina, eliminatorias, 1a y 2a mangas",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2,1a y 2a mangas
CS,M,220,M,6,Canoe Double (C2) Men Victory Ceremony,"Canoë bi (C2) - hom., remise médailles","C2 masculina, cer. premiação","Canoa doble (C2) masculina, cer medallas",Canoe Double (C2) Men Victory Ceremony,"Canoë biplace (C2) - hommes, cérémonie de remise des médailles","Canoa dupla (C2) masculina, cerimônia de entrega das medalhas","Canoa doble (C2) masculina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CS,W,000,0,8,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,"","","",
CS,W,110,0,8,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,Kayak (K1) femenino,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,Kayak (K1) femenino,"","","",
CS,W,110,1,3,Kayak (K1) Women Final,"Kayak mono (K1) - femmes, finale","Caiaque individual (K1) feminino, final","Kayak (K1) femenino, final",Kayak (K1) Women Final,"Kayak monoplace (K1) - femmes, finale","Caiaque individual (K1) feminino, final","Kayak (K1) femenino, final",Final,Finale,Final,Final
CS,W,110,2,3,Kayak (K1) Women Semi-final,"Kayak mono (K1) - femmes, demi-finale","Caiaque individual (K1) feminino, 1/2","Kayak (K1) femenino, semifinal",Kayak (K1) Women Semi-final,"Kayak monoplace (K1) - femmes, demi-finale","Caiaque individual (K1) feminino, semifinal","Kayak (K1) femenino, semifinal",Semi-final,Demi-finale,Semifinal,Semifinal
CS,W,110,9,3,Kayak (K1) Women Heats 1st and 2nd Run,"K1 - femmes, élim. - manches 1 et 2","K1 feminino, elim, descidas 1 e 2","Kayak (K1) fem, elim., 1a y 2a mangas",Kayak (K1) Women Heats 1st and 2nd Run,"Kayak monoplace (K1) - femmes, éliminatoires - manches 1 et 2","Caiaque individual (K1) feminino, eliminatórias, descidas 1 e 2","Kayak (K1) femenino, eliminatorias, 1a y 2a mangas",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2,1a y 2a mangas
CS,W,110,M,6,Kayak (K1) Women Victory Ceremony,"Kayak mono (K1) - fem., remise médailles","K1 feminino, cer. premiação","Kayak (K1) femenino, cer. medallas",Kayak (K1) Women Victory Ceremony,"Kayak monoplace (K1) - femmes, cérémonie de remise des médailles","Caiaque individual (K1) feminino, cerimônia de entrega das medalhas","Kayak (K1) femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,0,000,0,8,Cycling Track,Cyclisme sur piste,Ciclismo de pista,Ciclismo de pista,Cycling Track,Cyclisme sur piste,Ciclismo de pista,Ciclismo de pista,,,,
CT,0,000,Q,4,Cycling Track Team Managers' Meeting,Cyclisme piste-réunion directeurs équipe,"Ciclismo de pista, reunião chefes equipe",Ciclismo de pista-reunión jefes de eq.,Cycling Track Team Managers' Meeting,Cyclisme sur piste - réunion des directeurs d'équipe,"Ciclismo de pista, reunião dos chefes de equipe",Ciclismo de pista - reunión de jefes de equipo,,,,
CT,0,ROV,0,8,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,,,,
CT,M,000,0,8,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,,,,
CT,M,001,0,8,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,Velocidad masculino,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,Velocidad masculino,,,,
CT,M,001,1,3,Men's Sprint Finals,"Vitesse individuelle - hommes, finales","Velocidade masculino, finais","Velocidad masculino, finales",Men's Sprint Finals,"Vitesse individuelle - hommes, finales","Velocidade masculino, finais","Velocidad masculino, finales",Finals,Finales,Finais,Finales
CT,M,001,2,3,Men's Sprint Semifinals,"Vitesse individuelle - hom., 1/2 finales","Velocidade masculino, semifinais","Velocidad masculino, semifinales",Men's Sprint Semifinals,"Vitesse individuelle - hommes, demi-finales","Velocidade masculino, semifinais","Velocidad masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
CT,M,001,3,3,Men's Sprint Quarterfinals,"Vitesse individuelle - hom., 1/4 finale","Velocidade masculino, quartas de final","Velocidad masculino, cuartos de final",Men's Sprint Quarterfinals,"Vitesse individuelle - hommes, quarts de finale","Velocidade masculino, quartas de final","Velocidad masculino, cuartos de final",Quarterfinals,Quarts de finale,Quartas de Final,Cuartos de final
CT,M,001,4,3,Men's Sprint 1/8 Finals,"Vitesse individuelle - hom., 8e finale","Velocidade masculino, oitavas de final","Velocidad masculino, 1/8 de final",Men's Sprint 1/8 Finals,"Vitesse individuelle - hommes, 8e de finale","Velocidade masculino, oitavas de final","Velocidad masculino, 1/8 de final",1/8 Finals,8e de finale,Oitavas de Final,1/8 de final
CT,M,001,8,3,Men's Sprint 1/16 Finals,"Vitesse individuelle - hom., 16e finale","Velocidade masculino, primeira fase","Velocidad masculino, 1/16 de final",Men's Sprint 1/16 Finals,"Vitesse individuelle - hommes, 16e de finale","Velocidade masculino, primeira fase","Velocidad masculino, 1/16 de final",1/16 Finals,16e de finale,Primeira fase,1/16 de final
CT,M,001,9,3,Men's Sprint Qualifying,"Vitesse individuelle - hom., qualif.","Velocidade masculino, classificatórias","Velocidad masculino, clasificación",Men's Sprint Qualifying,"Vitesse individuelle - hommes, qualifications","Velocidade masculino, classificatórias","Velocidad masculino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,M,001,M,6,Men's Sprint Victory Ceremony,"Vitesse individuelle - hom., remise méd.","Velocidade masculino, cer. premiação","Velocidad masculino, cer. de medallas",Men's Sprint Victory Ceremony,"Vitesse individuelle - hommes, cérémonie de remise des médailles","Velocidade masculino, cerimônia de entrega das medalhas","Velocidad masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,M,008,0,8,Men's Keirin,Keirin - hommes,Keirin masculino,Keirin masculino,Men's Keirin,Keirin - hommes,Keirin masculino,Keirin masculino,"","","",
CT,M,008,1,3,Men's Keirin Finals,"Keirin - hommes, finales","Keirin masculino, finais","Keirin masculino, finales",Men's Keirin Finals,"Keirin - hommes, finales","Keirin masculino, finais","Keirin masculino, finales",Finals,Finales,Finais,Finales
CT,M,008,7,3,Men's Keirin Second Round,"Keirin - hommes, 2e tour","Keirin masculino, segunda fase","Keirin masculino, segunda ronda",Men's Keirin Second Round,"Keirin - hommes, 2e tour","Keirin masculino, segunda fase","Keirin masculino, segunda ronda",Second Round,2e tour,Segunda fase,Segunda ronda
CT,M,008,8,3,Men's Keirin First Round,"Keirin - hommes, 1er tour","Keirin masculino, primeira fase","Keirin masculino, primera ronda",Men's Keirin First Round,"Keirin - hommes, 1er tour","Keirin masculino, primeira fase","Keirin masculino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,M,008,M,6,Men's Keirin Victory Ceremony,"Keirin - hommes, remise des médailles","Keirin masculino, cer. premiação","Keirin masculino, cer. de medallas",Men's Keirin Victory Ceremony,"Keirin - hommes, cérémonie de remise des médailles","Keirin masculino, cerimônia de entrega das medalhas","Keirin masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,M,010,0,8,Men's Omnium,Omnium - hommes,Omnium masculino,Ómnium masculino,Men's Omnium,Omnium - hommes,Omnium masculino,Ómnium masculino,"","","",
CT,M,010,1,3,Men's Omnium Points Race 6\6,"Omnium hom., course aux points 6\6","Omnium masc, corrida por pontos 6\6","Ómnium masculino, carrera por puntos 6/6",Men's Omnium Points Race 6\6,"Omnium - hommes, course aux points 6\6","Omnium masculino, corrida por pontos 6\6","Ómnium masculino, carrera por puntos 6/6",Points Race 6\6,Course aux points 6\6,Corrida por pontos 6\6,Carrera por puntos 6/6
CT,M,010,2,3,Men's Omnium Flying Lap 5\6,"Omnium hom., tour lancé 5\6","Omnium masc, volta lançada 5\6","Ómnium masculino, vuelta lanzada 5/6",Men's Omnium Flying Lap 5\6,"Omnium - hommes, tour lancé 5\6","Omnium masculino, volta lançada 5\6","Ómnium masculino, vuelta lanzada 5/6",Flying Lap 5\6,Tour lancé 5\6,Volta lançada 5\6,Vuelta lanzada 5/6
CT,M,010,3,3,Men's Omnium Time Trial 4\6,"Omnium hom., contre-la-montre 4\6","Omnium masc, contrarrelógio 4\6","Ómnium masculino, 1km contrarreloj 4/6",Men's Omnium Time Trial 4\6,"Omnium - hommes, contre-la-montre 4\6","Omnium masculino, contrarrelógio 4\6","Ómnium masculino, 1km contrarreloj 4/6",Time Trial 4\6,Contre-la-montre 4\6,Contrarrelógio 4\6,1km contrarreloj 4/6
CT,M,010,4,3,Men's Omnium Elimination Race 3\6,"Omnium hom., course à l'élimination 3\6","Omnium masc, corrida de eliminação 3\6","Ómnium masculino, carrera de elim. 3/6",Men's Omnium Elimination Race 3\6,"Omnium - hommes, course à l'élimination 3\6","Omnium masculino, corrida de eliminação 3\6","Ómnium masculino, carrera de eliminación 3/6",Elimination Race 3\6,Course à l'élimination 3\6,Corrida de eliminação 3\6,Carrera de eliminación 3/6
CT,M,010,5,3,Men's Omnium Individual Pursuit 2\6,"Omnium hom., poursuite individuelle 2\6","Omnium masc, perseguição individual 2\6","Ómnium masculino, persecución ind. 2/6",Men's Omnium Individual Pursuit 2\6,"Omnium - hommes, poursuite individuelle 2\6","Omnium masculino, perseguição individual 2\6","Ómnium masculino, persecución individual 2/6",Individual Pursuit 2\6,Poursuite individuelle 2\6,Perseguição individual 2\6,Persecución individual 2/6
CT,M,010,6,3,Men's Omnium Scratch Race 1\6,"Omnium hom., scratch 1\6","Omnium masc, scratch 1\6","Ómnium masculino, scratch 1/6",Men's Omnium Scratch Race 1\6,"Omnium - hommes, scratch 1\6","Omnium masculino, scratch 1\6","Ómnium masculino, scratch 1/6",Scratch Race 1\6,Scratch 1\6,Scratch 1\6,Scratch 1/6
CT,M,010,M,6,Men's Omnium Victory Ceremony,"Omnium - hommes, remise des médailles","Omnium masculino, cer. premiação","Ómnium masculino, cer. de medallas",Men's Omnium Victory Ceremony,"Omnium - hommes, cérémonie de remise des médailles","Omnium masculino, cerimônia de entrega das medalhas","Ómnium masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,M,401,0,8,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,Velocidad por equipos masculino,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,Velocidad por equipos masculino,"","","",
CT,M,401,1,3,Men's Team Sprint Finals,"Vitesse par équipes - hommes, finales","Velocidade por equipes masculino, finais","Velocidad por equipos masc, finales",Men's Team Sprint Finals,"Vitesse par équipes - hommes, finales","Velocidade por equipes masculino, finais","Velocidad por equipos masculino, finales",Finals,Finales,Finais,Finales
CT,M,401,8,3,Men's Team Sprint First Round,"Vitesse par équipes - hommes, 1er tour","Velocidade por equipes masc, 1a fase","Velocidad por equipos masc, 1a ronda",Men's Team Sprint First Round,"Vitesse par équipes - hommes, 1er tour","Velocidade por equipes masculino, primeira fase","Velocidad por equipos masculino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,M,401,9,3,Men's Team Sprint Qualifying,"Vitesse par équipes - hom., qualif.","Velocidade por equipes masc, classific","Velocidad por equipos masc, clasif.",Men's Team Sprint Qualifying,"Vitesse par équipes - hommes, qualifications","Velocidade por equipes masculino, classificatórias","Velocidad por equipos masculino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,M,401,M,6,Men's Team Sprint Victory Ceremony,"Vitesse par équipes - hom., remise méd.","Velocidade equipes masc, cer. premiação","Velocidad por equipos masc, cer medallas",Men's Team Sprint Victory Ceremony,"Vitesse par équipes - hommes, cérémonie de remise des médailles","Velocidade por equipes masculino, cerimônia de entrega das medalhas","Velocidad por equipos masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,M,402,0,8,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,Persecución por equipos masculino,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,Persecución por equipos masculino,"","","",
CT,M,402,1,3,Men's Team Pursuit Finals,"Poursuite par équipes - hommes, finales","Perseguição por equipes masc, finais","Persecución por equipos masc, finales",Men's Team Pursuit Finals,"Poursuite par équipes - hommes, finales","Perseguição por equipes masculino, finais","Persecución por equipos masculino, finales",Finals,Finales,Finais,Finales
CT,M,402,8,3,Men's Team Pursuit First Round,"Poursuite par équipes - hommes, 1er tour","Perseguição por equipes masc, 1a fase","Persecución por equipos masc, 1a ronda",Men's Team Pursuit First Round,"Poursuite par équipes - hommes, 1er tour","Perseguição por equipes masculino, primeira fase","Persecución por equipos masculino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,M,402,9,3,Men's Team Pursuit Qualifying,"Poursuite équipes - hom., qualifications","Perseguição por equipes masc,  classific","Persecución por equipos masc, clasif.",Men's Team Pursuit Qualifying,"Poursuite par équipes - hommes, qualifications","Perseguição por equipes masculino, classificatórias","Persecución por equipos masculino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,M,402,M,6,Men's Team Pursuit Victory Ceremony,"Poursuite équipes - hom., remise méd.","Perseguição equipes masc, cer. premiação","Persecución equipos masc, cer medallas",Men's Team Pursuit Victory Ceremony,"Poursuite par équipes - hommes, cérémonie de remise des médailles","Perseguição por equipes masculino, cerimônia de entrega das medalhas","Persecución por equipos masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,W,000,0,8,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,"","","",
CT,W,001,0,8,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,Velocidad femenino,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,Velocidad femenino,"","","",
CT,W,001,1,3,Women's Sprint Finals,"Vitesse individuelle - femmes, finales","Velocidade feminino, finais","Velocidad femenino, finales",Women's Sprint Finals,"Vitesse individuelle - femmes, finales","Velocidade feminino, finais","Velocidad femenino, finales",Finals,Finales,Finais,Finales
CT,W,001,2,3,Women's Sprint Semifinals,"Vitesse individuelle - fem., 1/2 finales","Velocidade feminino, semifinais","Velocidad femenino, semifinales",Women's Sprint Semifinals,"Vitesse individuelle - femmes, demi-finales","Velocidade feminino, semifinais","Velocidad femenino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
CT,W,001,3,3,Women's Sprint Quarterfinals,"Vitesse individuelle - fem., 1/4 finale","Velocidade feminino, quartas de final","Velocidad femenino, cuartos de final",Women's Sprint Quarterfinals,"Vitesse individuelle - femmes, quarts de finale","Velocidade feminino, quartas de final","Velocidad femenino, cuartos de final",Quarterfinals,Quarts de finale,Quartas de Final,Cuartos de final
CT,W,001,4,3,Women's Sprint 1/8 Finals,"Vitesse individuelle - fem., 8e finale","Velocidade feminino, oitavas de final","Velocidad femenino, 1/8 de final",Women's Sprint 1/8 Finals,"Vitesse individuelle - femmes, 8e de finale","Velocidade feminino, oitavas de final","Velocidad femenino, 1/8 de final",1/8 Finals,8e de finale,Oitavas de Final,1/8 de final
CT,W,001,8,3,Women's Sprint 1/16 Finals,"Vitesse individuelle - fem., 16e finale","Velocidade feminino, primeira fase","Velocidad femenino, 1/16 de final",Women's Sprint 1/16 Finals,"Vitesse individuelle - femmes, 16e de finale","Velocidade feminino, primeira fase","Velocidad femenino, 1/16 de final",1/16 Finals,16e de finale,Primeira fase,1/16 de final
CT,W,001,9,3,Women's Sprint Qualifying,"Vitesse individuelle - fem., qualif.","Velocidade feminino, classificatórias","Velocidad femenino, clasificación",Women's Sprint Qualifying,"Vitesse individuelle - femmes, qualifications","Velocidade feminino, classificatórias","Velocidad femenino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,W,001,M,6,Women's Sprint Victory Ceremony,"Vitesse individuelle - fem., remise méd.","Velocidade feminino, cer. premiação","Velocidad femenino, cer. de medallas",Women's Sprint Victory Ceremony,"Vitesse individuelle - femmes, cérémonie de remise des médailles","Velocidade feminino, cerimônia de entrega das medalhas","Velocidad femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,W,008,0,8,Women's Keirin,Keirin - femmes,Keirin feminino,Keirin femenino,Women's Keirin,Keirin - femmes,Keirin feminino,Keirin femenino,"","","",
CT,W,008,1,3,Women's Keirin Finals,"Keirin - femmes, finales","Keirin feminino, finais","Keirin femenino, finales",Women's Keirin Finals,"Keirin - femmes, finales","Keirin feminino, finais","Keirin femenino, finales",Finals,Finales,Finais,Finales
CT,W,008,7,3,Women's Keirin Second Round,"Keirin - femmes, 2e tour","Keirin feminino, segunda fase","Keirin femenino, segunda ronda",Women's Keirin Second Round,"Keirin - femmes, 2e tour","Keirin feminino, segunda fase","Keirin femenino, segunda ronda",Second Round,2e tour,Segunda fase,Segunda ronda
CT,W,008,8,3,Women's Keirin First Round,"Keirin - femmes, 1er tour","Keirin feminino, primeira fase","Keirin femenino, primera ronda",Women's Keirin First Round,"Keirin - femmes, 1er tour","Keirin feminino, primeira fase","Keirin femenino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,W,008,M,6,Women's Keirin Victory Ceremony,"Keirin - femmes, remise des médailles","Keirin feminino, cer. premiação","Keirin femenino, cer. de medallas",Women's Keirin Victory Ceremony,"Keirin - femmes, cérémonie de remise des médailles","Keirin feminino, cerimônia de entrega das medalhas","Keirin femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,W,010,0,8,Women's Omnium,Omnium - femmes,Omnium feminino,Ómnium femenino,Women's Omnium,Omnium - femmes,Omnium feminino,Ómnium femenino,"","","",
CT,W,010,1,3,Women's Omnium Points Race 6\6,"Omnium fem., course aux points 6\6","Omnium fem, corrida por pontos 6\6","Ómnium femenino, carrera por puntos 6/6",Women's Omnium Points Race 6\6,"Omnium - femmes, course aux points 6\6","Omnium feminino, corrida por pontos 6\6","Ómnium femenino, carrera por puntos 6/6",Points Race 6\6,Course aux points 6\6,Corrida por pontos 6\6,Carrera por puntos 6/6
CT,W,010,2,3,Women's Omnium Flying Lap 5\6,"Omnium fem., tour lancé 5\6","Omnium fem, volta lançada 5\6","Ómnium femenino, vuelta lanzada 5/6",Women's Omnium Flying Lap 5\6,"Omnium - femmes, tour lancé 5\6","Omnium feminino, volta lançada 5\6","Ómnium femenino, vuelta lanzada 5/6",Flying Lap 5\6,Tour lancé 5\6,Volta lançada 5\6,Vuelta lanzada 5/6
CT,W,010,3,3,Women's Omnium Time Trial 4\6,"Omnium fem., contre-la-montre 4\6","Omnium fem, contrarrelógio 4\6","Ómnium femenino, 500m contrarreloj 4/6",Women's Omnium Time Trial 4\6,"Omnium - femmes, contre-la-montre 4\6","Omnium feminino, contrarrelógio 4\6","Ómnium femenino, 500m contrarreloj 4/6",Time Trial 4\6,Contre-la-montre 4\6,Contrarrelógio 4\6,500m contrarreloj 4/6
CT,W,010,4,3,Women's Omnium Elimination Race 3\6,"Omnium fem., course à l'élimination 3\6","Omnium fem, corrida de eliminação 3\6","Ómnium femenino, carrera de elim. 3/6",Women's Omnium Elimination Race 3\6,"Omnium - femmes, course à l'élimination 3\6","Omnium feminino, corrida de eliminação 3\6","Ómnium femenino, carrera de eliminación 3/6",Elimination Race 3\6,Course à l'élimination 3\6,Corrida de eliminação 3\6,Carrera de eliminación 3/6
CT,W,010,5,3,Women's Omnium Individual Pursuit 2\6,"Omnium fem., poursuite individuelle 2\6","Omnium fem, perseguição individual 2\6","Ómnium femenino, persecución ind. 2/6",Women's Omnium Individual Pursuit 2\6,"Omnium - femmes, poursuite individuelle 2\6","Omnium feminino, perseguição individual 2\6","Ómnium femenino, persecución individual 2/6",Individual Pursuit 2\6,Poursuite individuelle 2\6,Perseguição individual 2\6,Persecución individual 2/6
CT,W,010,6,3,Women's Omnium Scratch Race 1\6,"Omnium fem., scratch 1\6","Omnium fem, scratch 1\6","Ómnium femenino, scratch 1/6",Women's Omnium Scratch Race 1\6,"Omnium - femmes, scratch 1\6","Omnium feminino, scratch 1\6","Ómnium femenino, scratch 1/6",Scratch Race 1\6,Scratch 1\6,Scratch 1\6,Scratch 1/6
CT,W,010,M,6,Women's Omnium Victory Ceremony,"Omnium - femmes, remise des médailles","Omnium feminino, cer. premiação","Ómnium femenino, cer. de medallas",Women's Omnium Victory Ceremony,"Omnium - femmes, cérémonie de remise des médailles","Omnium feminino, cerimônia de entrega das medalhas","Ómnium femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,W,401,0,8,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,Velocidad por equipos femenino,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,Velocidad por equipos femenino,"","","",
CT,W,401,1,3,Women's Team Sprint Finals,"Vitesse par équipes - femmes, finales","Velocidade por equipes feminino, finais","Velocidad por equipos femenino, finales",Women's Team Sprint Finals,"Vitesse par équipes - femmes, finales","Velocidade por equipes feminino, finais","Velocidad por equipos femenino, finales",Finals,Finales,Finais,Finales
CT,W,401,8,3,Women's Team Sprint First Round,"Vitesse par équipes - femmes, 1er tour","Velocidade por equipes feminino, 1a fase","Velocidad por equipos femenino, 1a ronda",Women's Team Sprint First Round,"Vitesse par équipes - femmes, 1er tour","Velocidade por equipes feminino, primeira fase","Velocidad por equipos femenino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,W,401,9,3,Women's Team Sprint Qualifying,"Vitesse par équipes - fem., qualif.","Velocidade por equipes fem, classific","Velocidad por equipos femenino, clasif.",Women's Team Sprint Qualifying,"Vitesse par équipes - femmes, qualifications","Velocidade por equipes feminino, classificatórias","Velocidad por equipos femenino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,W,401,M,6,Women's Team Sprint Victory Ceremony,"Vitesse par équipes - fem., remise méd.","Velocidade equipes fem, cer. premiação","Velocidad por equipos fem, cer. medallas",Women's Team Sprint Victory Ceremony,"Vitesse par équipes - femmes, cérémonie de remise des médailles","Velocidade por equipes feminino, cerimônia de entrega das medalhas","Velocidad por equipos femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
CT,W,402,0,8,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,Persecución por equipos femenino,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,Persecución por equipos femenino,"","","",
CT,W,402,1,3,Women's Team Pursuit Finals,"Poursuite par équipes - femmes, finales","Perseguição por equipes feminino, finais","Persecución por equipos fem, finales",Women's Team Pursuit Finals,"Poursuite par équipes - femmes, finales","Perseguição por equipes feminino, finais","Persecución por equipos femenino, finales",Finals,Finales,Finais,Finales
CT,W,402,8,3,Women's Team Pursuit First Round,"Poursuite par équipes - femmes, 1er tour","Perseguição por equipes feminino,1a fase","Persecución por equipos fem, 1a ronda",Women's Team Pursuit First Round,"Poursuite par équipes - femmes, 1er tour","Perseguição por equipes feminino, primeira fase","Persecución por equipos femenino, primera ronda",First Round,1er tour,Primeira fase,Primera ronda
CT,W,402,9,3,Women's Team Pursuit Qualifying,"Poursuite équipes - fem., qualifications","Perseguição por equipes fem, classific","Persecución por equipos fem, clasif.",Women's Team Pursuit Qualifying,"Poursuite par équipes - femmes, qualifications","Perseguição por equipes feminino, classificatórias","Persecución por equipos femenino, clasificación",Qualifying,Qualifications,Classificatórias,Clasificación
CT,W,402,M,6,Women's Team Pursuit Victory Ceremony,"Poursuite équipes - fem., remise méd.","Perseguição equipes fem, cer. premiação","Persecución equipos fem, cer. medallas",Women's Team Pursuit Victory Ceremony,"Poursuite par équipes - femmes, cérémonie de remise des médailles","Perseguição por equipes feminino, cerimônia de entrega das medalhas","Persecución por equipos fem, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
