Sport,Code_Entity,Code,Order,Description,Note
SA,Course,O2,,Outer Trapezoid (O2),
SA,Course,O3,,Outer Trapezoid (O3),
SA,Course,O4,,Outer Trapezoid (O4),
SA,Course,OS2,,Outer Slalom (OS2),
SA,Course,OS3,,Outer Slalom (OS3),
SA,Course,OS4,,Outer Slalom (OS4),
SA,IRM,BFD,,Black Flag Disqualification - Disqualification under ISAF rules,
SA,IRM,DGM,,Disqualification for Gross Misconduct - Disqualification for gross misconduct not excludable under ISAF rules,
SA,IRM,DNC,,Did Not Come - Did not come to the starting area,
SA,IRM,DNE,,Disqualification Not Excludable - Disqualification (other than DGM) not excludable under ISAF rules,
SA,IRM,DNF,,Did not Finish,
SA,IRM,DNS,,Did not Start (other than DNC and OCS),
SA,IRM,DPI,,Discretionary Penalty Imposed,
SA,IRM,DSQ,,Disqualification,
SA,IRM,OCS,,"On Course Side - On the course side of the starting line at the starting signal and failed to start, or broke ISAF rules",
SA,IRM,RDG,,Redress Given,
SA,IRM,RET,,Retired,
SA,IRM,SCP,,Took a Scoring Penalty under ISAF rules,
SA,IRM,STP,,Standard Penalty (a penalty applied by the Race Committee),
SA,IRM,UFD,,"""U"" Flag Disqualification (Disqualification under Sailing Instructions)",
SA,IRM,ZFP,,Z Flag Penalty - 20% penalty under ISAF rules,
SA,ResultType,IRM,,Invalid Result Mark,
SA,ResultType,IRM_POINTS,,"For both, points and invalid result mark",
SA,ResultType,POINTS,,Points,
SA,ResultType,TIME,,"Time, for use in time at each mark during a race.",
SA,Status,ABDN,,Abandoned: Racing has been abandoned for this class,
SA,Status,CMPD,,Completed,
SA,Status,FSHD,,Finished: All boats have completed racing,
SA,Status,GNR_REC,,General Recall: Race has been recalled,
SA,Status,NO_RAC,,No Racing Today: There is no racing scheduled for this class today,
SA,Status,NONE,,No Status,
SA,Status,PSP,,Postponed,
SA,Status,RAC,,Racing,
SA,Status,RAC_IR,,Racing - IR: Racing Individual Recall Flag Raised,
SA,Status,RUN_AFTER,,"There will not be more races during the day, but it can be run the day after",
SA,Status,STR_SEQ,,Start Sequence: 6 minutes prior to start,
SH,IRM,DNF,,Did not finish,
SH,IRM,DNS,,Did not start,
SH,IRM,DQB,,Disqualified for unsportsmanlike Behaviour,
SH,IRM,DSQ,,Disqualified,
SH,QualificationMark,QB,,Qualified for Bronze Medal Match,
SH,QualificationMark,QF,,Qualified for Finals,
SH,QualificationMark,QG,,Qualified for Gold Medal Match,
SH,ResultType,IRM,,Invalid Result Mark,
SH,ResultType,IRM_POINTS,,"For both, points and invalid result mark",
SH,ResultType,POINTS,,Points,
SH,ShotStatus,B,,Not yet fired,
SH,ShotStatus,L,,Hit,
SH,ShotStatus,M,,Miss,
SH,ShotStatus,R,,"Over time (shot not scored because too late, happens frequently as they have only 4 or 2 seconds time)",
SH,StageType,KNEEL,,Kneeling,
SH,StageType,PRECN,,Precision,
SH,StageType,PRONE,,Prone,
SH,StageType,RAPID,,Rapid,
SH,StageType,STAND,,Standing,
SW,IRM,DNF,,Did not finish,
SW,IRM,DNS,,Did not start,
SW,IRM,DSQ,,Disqualified,
SW,IRM,pd,,Pending for disqualification,
SW,QualificationMark,?,,Involved in swim-off,
SW,QualificationMark,Q,,Qualified for the next phase (final),
SW,ResultType,IRM,,Invalid Result Mark,
SW,ResultType,TIME,,Time,
SW,Stroke,1,,Freestyle,
SW,Stroke,2,,Butterfly,
SW,Stroke,3,,Breaststroke,
SW,Stroke,4,,Backstroke,
TR,IRM,DNF,,Did not finish,
TR,IRM,DNS,,Did not start,
TR,IRM,DSQ,,Disqualified,
TR,IRM,LAP,,Lapped,
TR,IRM,NE,,Not eligible,
TR,QualifyingType,BPC,,Bipartite Commission Place,
TR,QualifyingType,CQE,,Continental Olympic Qualification Events,
TR,QualifyingType,HST,,Host Country Place,
TR,QualifyingType,ITU,,ITU Points List,
TR,QualifyingType,PQL,,Paralympic Qualification List,
TR,QualifyingType,WPQ,,World Paralympic Qualification Event,
TR,ResultType,IRM,,IRM,
TR,ResultType,TIME,,Time,
TR,Segment,BIKE,,Bike,
TR,Segment,RUN,,Run,
TR,Segment,RUN1,,Run,Only for Duathlon
TR,Segment,RUN2,,Run,Only for Duathlon
TR,Segment,SWIM,,Swim,
TR,Segment,TRANS1,,Transition 1,
TR,Segment,TRANS2,,Transition 2,
TT,Bracket,BRN,,Bronze,
TT,Bracket,FNL,,Finals ,
TT,BracketItems,1R,,Round 1,
TT,BracketItems,FNL,,Finals,
TT,BracketItems,QFL,,Quarterfinals,
TT,BracketItems,SFL,,Semifinals,
TT,Grip,P,,Penholder,
TT,Grip,S,,Shakehand,
TT,Hand,L,,Left,
TT,Hand,R,,Right,
TT,IRM,DSQ,,Disqualified,
TT,IRM,RET,,Retired,
TT,IRM,WO,,Walkover,
TT,Margin,1,,3:0,
TT,Margin,2,,3:1,
TT,Margin,3,,3:2,
TT,Margin,5,,2:0 (for team events),
TT,Margin,6,,2:1 (for team events),
TT,Margin,8,,IRM (for singles or team events),
TT,MatchType,S,,Singles,
TT,MatchType,D,,Doubles,
TT,Period,G1,,Game 1,
TT,Period,G2,,Game 2,
TT,Period,G3,,Game 3,
TT,Period,G4,,Game 4,
TT,Period,G5,,Game 5,
TT,PointMargin,1,,11,
TT,PointMargin,10,,2,
TT,PointMargin,11,,IRM,
TT,PointMargin,2,,10,
TT,PointMargin,3,,9,
TT,PointMargin,4,,8,
TT,PointMargin,5,,7,
TT,PointMargin,6,,6,
TT,PointMargin,7,,5,
TT,PointMargin,8,,4,
TT,PointMargin,9,,3,
TT,QualifyingType,QI,,Qualified by Invitation,
TT,QualifyingType,QL,,Qualified by ranking list,
TT,QualifyingType,QR,,Qualification by region,
TT,ResultType,IRM,,Invalid Results Mark,
TT,ResultType,IRM_POINTS,,Invalid Results Mark with Points,
TT,ResultType,POINTS,,Points,
TT,Statistics,CUM,,Cumulative statistics,
TT,Statistics,TOU,,Tournament statistics,
TT,WLT,L,,Lost,
TT,WLT,T,,Tied,
TT,WLT,W,,Won,
VS,Action,BLC,,Block,
VS,Action,DIG,,Dig,
VS,Action,NO_ACC,,No Action,
VS,Action,OPP_ERR,,Opponent Error,"This occurs after a fault in the Spike, Serve or Set Actions"
VS,Action,RCP,,Reception,
VS,Action,SET,,Set,
VS,Action,SPK,,Spike,
VS,Action,SRV,,Serve,
VS,Action,STARTP,,Start of Period,
VS,Action,SUBST,,Substitution,
VS,Action,TF,,Team Fault,"When UnitAction Value has this value it must be followed by Result with a value of ""FLT"" "
VS,Action,TOUT,,Time Out,
VS,ActionRole,IN,,In,
VS,ActionRole,OUT,,Out,
VS,AthleteStatus,SUSPEND,,Suspended,
VS,Bracket,5_6,,Classification 5-6,
VS,Bracket,7_8,,Classification 7-8,
VS,Bracket,BRN,,Bronze,
VS,Bracket,FNL,,Finals,
VS,BracketItems,FNL,,Finals,
VS,BracketItems,SFL,,Semifinals,
VS,Hand,B,,Left/Right,
VS,Hand,L,,Left,
VS,Hand,R,,Right,
VS,IRM,DSQ,,Disqualified,
VS,Period,S1,1,Set 1,
VS,Period,S2,2,Set 2,
VS,Period,S3,3,Set 3,
VS,Period,S4,4,Set 4,
VS,Period,S5,5,Set 5,
VS,Period,TOT,6,Total,
VS,ResAction,ACE,,Ace for Serve Action,
VS,ResAction,BLC_SCS,,Kill Block for Block Action,
VS,ResAction,DIG,,Dig for Dig Action,
VS,ResAction,EXC,,Excellents for Reception Action,
VS,ResAction,FLT,,"Fault for Spike, Block, Serve, Dig, Set, Reception Actions",
VS,ResAction,RCP,,Reception for Dig Action,
VS,ResAction,REB,,Rebound for Block Action,
VS,ResAction,RUN,,Running Set for Set Action,
VS,ResAction,SHO,,Shot for Spike Action,
VS,ResAction,SPK,,Spike for Spike Action,
VS,ResAction,SRV_HIT,,Serve Hit for Serve Action,
VS,ResAction,SRV_RCP,,Serve Reception for Reception Action,
VS,ResAction,STL,,Still Set for Set Action,
VS,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",
VS,ResultType,POINTS,,Points,
VS,Statistics,CUM,,For cumulative data of individual statistics and team statistics. There will be one single report with the statistics of all the players of each team informed in the DocumentSubcode,
VS,Statistics,IND_RANKING,,"Ranking of individual tournament statistics, for the best athletes",
VS,Statistics,TEAM_RANKING,,Ranking of team tournament statistics,
VS,Statistics,TOU,,Tournament statistics,
VS,WLT,L,,Lost,
VS,WLT,W,,Won,
WB,Action,BLC,,Blocked Shot,
WB,Action,CFOUL,,Coach Foul,
WB,Action,ENDP,,End of Period,
WB,Action,FD,,Foul drawn,
WB,Action,FOUL,,Foul,
WB,Action,FT,,Free throw,
WB,Action,JB,,Jump ball,
WB,Action,JBT,,"Jump ball situation, throw-in",
WB,Action,P2F,,2 pt shot fast break,
WB,Action,P2I,,2 pt shot inside paint,
WB,Action,P2O,,2 pt shot outside paint,
WB,Action,P3,,3 pt shot ,
WB,Action,P3F,,3 pt shot fast break,
WB,Action,REB,,Rebound,
WB,Action,ST,,Steal,
WB,Action,STARTP,,Start of Period,
WB,Action,SUBST,,Substitution,
WB,Action,TO,,Turnover,
WB,Action,TOUT,,Timeout,
WB,Action,TREB,,Team Rebound,
WB,Action,TTO,,Team Turnover,
WB,ActionRole,ASSIST,,Assist,
WB,ActionRole,IN,,In,
WB,ActionRole,JBL,,Jump ball lost,
WB,ActionRole,JBW,,Jump ball won,
WB,ActionRole,OUT,,Out,
WB,ActionRole,OUT_I,,"Out, Injury",
WB,ActionRole,SCR,,Scorer,
WB,AthleteStatus,DSQ,,Disqualified,
WB,AthleteStatus,SUSPEND,,Suspended,
WB,Bracket,11_12,,Playoff 11-12,Only for Men's Team
WB,Bracket,5_6,,Playoff 5-6,""
WB,Bracket,7_8,,Playoff 7-8,""
WB,Bracket,9_10,,Playoff 9-10,""
WB,Bracket,BRN,,Bronze,
WB,Bracket,FNL,,Finals,
WB,BracketItems,FNL,,Finals,
WB,BracketItems,QFL,,Quarterfinals,
WB,BracketItems,SFL,,Semifinals,
WB,FreeThrow,1,,1st free throw,
WB,FreeThrow,2,,2nd free throw,
WB,FreeThrow,3,,3rd free throw,
WB,FreeThrowOf,1,,Of 1 free throw,
WB,FreeThrowOf,2,,Of 2 free throws,
WB,FreeThrowOf,3,,Of 3 free throws,
WB,IRM,DSQ,,Disqualified,
WB,Period,HT,,Half Time,
WB,Period,OT,,Overtime (All),
WB,Period,OT1,,Overtime 1,
WB,Period,OT2,,Overtime 2,
WB,Period,OT3,,Overtime 3,
WB,Period,OT4,,Overtime 4,
WB,Period,OT5,,Overtime 5,
WB,Period,OT6,,Overtime 6,
WB,Period,Q1,,Quarter 1,
WB,Period,Q1_H,,Half of Quarter 1,
WB,Period,Q2,,Quarter 2,
WB,Period,Q2_H,,Half of Quarter 2,
WB,Period,Q3,,Quarter 3,
WB,Period,Q3_H,,Half of Quarter 3,
WB,Period,Q4,,Quarter 4,
WB,Period,Q4_H,,Half of Quarter 4,
WB,Period,TOT,,Total,
WB,Res_Sub,AO,,Alley-oop  (for 2 pts),
WB,Res_Sub,DU,,Dunk (for 2 pts),
WB,Res_Sub,JS,,Jump shot,
WB,Res_Sub,LU,,Lay-up (for 2 pts),
WB,Res_Sub,TI,,Tip-in (for 2 pts),
WB,ResAction,BLC,,Blocked,
WB,ResAction,BP,,Bad pass (for Turnover),
WB,ResAction,DQF,,Disqualifying Foul,
WB,ResAction,DR,,Defensive Rebound,
WB,ResAction,F1,,1 free throw awarded (for Foul),
WB,ResAction,F2,,2 free throws awarded (for Foul),
WB,ResAction,F3,,3 free throws awarded (for Foul),
WB,ResAction,GAME,,Start of Match (for Start of Period) and End of Match (for End of Period),
WB,ResAction,LB,,Ball handling (for Turnover),
WB,ResAction,MADE,,Made,
WB,ResAction,MISS,,Missed,
WB,ResAction,OB,,Out of bounds (for Turnover),
WB,ResAction,OF,,Offensive Foul,
WB,ResAction,OR,,Offensive Rebound,
WB,ResAction,PF,,Personal Foul,
WB,ResAction,T24,,24 seconds (for Team Turnover),
WB,ResAction,T3,,3 seconds (for Turnover),
WB,ResAction,T5,,5 seconds (for Turnover),
WB,ResAction,T8,,8 seconds (for Team Turnover),
WB,ResAction,TF,,Technical Foul,
WB,ResAction,TR,,Travelling (for Turnover),
WB,ResAction,UF,,Unsportsmanlike Foul,
WB,ResAction,VI,,Backcourt violation (for Turnover),
WB,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",
WB,ResultType,POINTS,,Points ,
WB,Sector,C,,Center. Straight on / Top of Circle,
WB,Sector,FD,,Back court (from Downtown) (for 3 pts),
WB,Sector,LL,,Left Corner,
WB,Sector,LW,,Left Wing,
WB,Sector,P,,In the paint- except PI. Three Second Area (for 2 pts),
WB,Sector,PI,,Under the basket. Restricted Area (Part of Paint) (for 2 pts),
WB,Sector,RL,,Right Corner,
WB,Sector,RW,,Right Wing,
WB,ShotFlag,AL,,Points from second chance + fastbreak + after turnover,
WB,ShotFlag,FB,,Fastbreak points,
WB,ShotFlag,FT,,Points from fastbreak + after turnover,
WB,ShotFlag,SC,,2nd chance points,
WB,ShotFlag,SF,,Points from second chance + fastbreak,
WB,ShotFlag,ST,,Points from second chance + after turnover,
WB,ShotFlag,TO,,Points after turnover,
WB,Statistics,CUM,,Cumulative Statistics of team and individual,
WB,Statistics,IND_RANKING,,Ranking of Individual tournament statistics,
WB,Statistics,TEAM_RANKING,,Ranking of Team tournament statistics,
WB,Statistics,TOU,,Tournament Statistics,
WB,WLT,L,,Lost,
WB,WLT,W,,Won,
WF,Bracket,BRN,,Bronze,
WF,Bracket,FNL,,Finals,
WF,BracketItems,FNL,,Finals,
WF,BracketItems,QFL,,Quarterfinals,
WF,BracketItems,SFL,,Semifinals,
WF,Colour,GREEN,,Green,
WF,Colour,RED,,Red,
WF,Group,100,,Individual,
WF,Group,400,,Team,
WF,Hand,L,,Left,
WF,Hand,R,,Right,
WF,IRM,DNF,,Did not finish,"(The codes order provided is according to the sport rules. In case of several IRM of the same code, sort by bib numbers in ascending order)."
WF,IRM,DNS,,Did not start,"(The codes order provided is according to the sport rules. In case of several IRM of the same code, sort by bib numbers in ascending order)."
WF,IRM,DSQ,,Disqualified,"(The codes order provided is according to the sport rules. In case of several IRM of the same code, sort by bib numbers in ascending order)."
WF,IRM,EXC,,Excluded,"(The codes order provided is according to the sport rules. In case of several IRM of the same code, sort by bib numbers in ascending order)."
WF,QualifyingType,BPC,,Bipartite Commission Invitation,
WF,QualifyingType,HCA,,Host Country Allocation,
WF,QualifyingType,RCD,,2016 Regional Championships Direct Allocation,
WF,QualifyingType,WCD,,2015 World Championships Direct Allocation,
WF,QualifyingType,WRL,,World Ranking List,
WF,ResultType,IRM_POINTS,,"For both, points and invalid result mark",
WF,ResultType,POINTS,,Points,
WF,WLT,D,,Defeat,
WF,WLT,V,,Victory,
WF,WLT,V(T),,Victory by toss,
WR,Action,FOUL,,Foul,
WR,Action,HB,,Held Ball,
WR,Action,PTY,,Penalty,
WR,Action,SHOT,,Shot,
WR,Action,ST,,Steal,
WR,Action,STARTP,,Start of Period,
WR,Action,SUBST,,Substitution,
WR,Action,TO,,Turnover,
WR,Action,TOUT,,Timeout,
WR,ActionRole,IN,,In,When CC @Action = SUBST
WR,ActionRole,OUT,,Out,When CC @Action = SUBST
WR,AthleteStatus,DSQ,,Disqualified,""
WR,AthleteStatus,SUSPEND,,Suspended,""
WR,Bracket,5_6,,5/6 Playoff,""
WR,Bracket,7_8,,7/8 Playoff,""
WR,Bracket,BRN,,Bronze,""
WR,Bracket,FNL,,Finals,""
WR,BracketItems,FNL,,Finals,"When CC @Bracket = FNL (Finals), BRN (Bronze), 5_6 (5/6 Playoff), 7_8 (7/8 Playoff)"
WR,BracketItems,SFL,,Semifinals,When CC @Bracket = FNL (Finals)
WR,IRM,DSQ,,Disqualified,""
WR,IRM,FoG,,Forfeit of Game,""
WR,Period,OT,11,Overtime (All),""
WR,Period,OT1,5,Overtime 1,""
WR,Period,OT2,6,Overtime 2,""
WR,Period,OT3,7,Overtime 3,""
WR,Period,OT4,8,Overtime 4,""
WR,Period,OT5,9,Overtime 5,""
WR,Period,OT6,10,Overtime 6,""
WR,Period,Q1,1,Period 1,""
WR,Period,Q2,2,Period 2,""
WR,Period,Q3,3,Period 3,""
WR,Period,Q4,4,Period 4,""
WR,Period,TOT,12,Total,""
WR,Reason,A,,Charging foul,"When CC @Action = FOUL,  PTY"
WR,Reason,B,,Contact before the whistle,"When CC @Action = FOUL,  PTY"
WR,Reason,C,,Four in the key foul,"When CC @Action = FOUL,  PTY"
WR,Reason,D,,Holding foul,"When CC @Action = FOUL,  PTY"
WR,Reason,E,,Leaving the court foul,"When CC @Action = FOUL,  PTY"
WR,Reason,F,,Pushing foul,"When CC @Action = FOUL,  PTY"
WR,Reason,G,,Illegal use of the hand foul,"When CC @Action = FOUL,  PTY"
WR,Reason,H,,Spinning foul,"When CC @Action = FOUL,  PTY"
WR,Reason,I,,One metre foul,"When CC @Action = FOUL,  PTY"
WR,Reason,J,,Dangerous play,"When CC @Action = FOUL,  PTY"
WR,Reason,K,,Fighting,"When CC @Action = FOUL,  PTY"
WR,Reason,L,,Continuous abusive and offensive language,"When CC @Action = FOUL,  PTY"
WR,Reason,M,,Striking or disrespectfully making physical contact with an official,"When CC @Action = FOUL,  PTY"
WR,Reason,N,,A common foul that displays very poor judgement and results in danger or injury to an opponent,"When CC @Action = FOUL,  PTY"
WR,ResAction,DF,,Defensive foul,"When CC @Action = FOUL,  PTY"
WR,ResAction,DQF,,Disqualifying foul,"When CC @Action = FOUL,  PTY"
WR,ResAction,FF,,Flagrant foul,"When CC @Action = FOUL,  PTY"
WR,ResAction,GOAL,,Goal,"When CC @Action = SHOT, PTY"
WR,ResAction,OB,,Out of bounds,When CC @Action = TO
WR,ResAction,OF,,Offensive foul,"When CC @Action = FOUL,  PTY"
WR,ResAction,PA,,Physical advantage,When CC @Action = TO
WR,ResAction,T,,Throw in,When CC @Action = TO
WR,ResAction,T20,,Twelve seconds,When CC @Action = TO
WR,ResAction,T40,,Forty seconds,When CC @Action = TO
WR,ResAction,TB,,Held ball,When CC @Action = TO
WR,ResAction,TD10,,Ten second dribble,When CC @Action = TO
WR,ResAction,TF,,Technical foul,"When CC @Action = FOUL,  PTY"
WR,ResAction,TK10,,Ten seconds in the key,When CC @Action = TO
WR,ResAction,TOF,,Tip-off,When CC @Action = TO
WR,ResAction,TOI,,Out and In,When CC @Action = TO
WR,ResAction,TOU,,Time-out,When CC @Action = TO
WR,ResAction,TOUT30,,Timeout 30,When CC @Action = TOUT
WR,ResAction,TOUT60,,Timeout 60,When CC @Action = TOUT
WR,ResAction,VI,,Backcourt,When CC @Action = TO
WR,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",""
WR,ResultType,POINTS,,Points,""
WR,WLT,L,,Lost,""
WR,WLT,W,,Won,""
WT,Action,Gn,,Game number,
WT,Action,TB,,Tie-break,
WT,ActionRole,SRV,,Serve,
WT,Bracket,BRN,,Bronze,
WT,Bracket,FNL,,Finals,
WT,BracketItems,1R,,1st Round,
WT,BracketItems,2R,,2nd Round,
WT,BracketItems,3R,,3rd Round,
WT,BracketItems,FNL,,Final,
WT,BracketItems,QFL,,Quarterfinal,
WT,BracketItems,SFL,,Semifinal,
WT,Hand,B,,Both,
WT,Hand,L,,Left,
WT,Hand,R,,Right,
WT,IRM,DEF,,Defaulted,
WT,IRM,DSQ,,Disqualified,
WT,IRM,RET,,Retired,
WT,IRM,WO,,Walkover,
WT,Period,S1,1,1st Set,
WT,Period,S2,2,2nd Set,
WT,Period,S3,3,3rd Set,
WT,QualifyingType,ALT,,Alternate,
WT,QualifyingType,BPC,,Bipartite Commission Place,
WT,QualifyingType,ITF,,ITF Place,
WT,ResAction,A1,,Ace - 1st Serve,
WT,ResAction,A2,,Ace - 2nd Serve,
WT,ResAction,DF,,Double Fault,
WT,ResAction,PR1,,Point to Receiver - 1st Serve,
WT,ResAction,PR2,,Point to Receiver - 2nd Serve,
WT,ResAction,PS1,,Point to Server - 1st Serve,
WT,ResAction,PS2,,Point to Server - 2nd Serve,
WT,ResultType,IRM,,Invalid Result Mark,
WT,ResultType,SCORE,,Score,
WT,Status,C,,Completed,
WT,Status,IP,,In Progress,
WT,Status,R,,Resumed,
WT,Status,S,,Suspended,
WT,WLT,L,,Lost,
WT,WLT,W,,Won,
