Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,ENG phase Description,FRA phase Description,POR phase Description
CS,M,210,2,3,Canoe Single (C1) Men Semi-final,"Canoë mono (C1) - hommes, demi-finale","Canoa individual (C1) masculina, 1/2",Canoe Single (C1) Men Semi-final,"Canoë monoplace (C1) - hommes, demi-finale","Canoa individual (C1) masculina, semifinal",Semi-final,Demi-finale,Semifinal
CS,M,210,9,3,Canoe Single (C1) Men Hts 1st and 2nd Rn,"C1 - hommes, élim. - manches 1 et 2","C1 masculina, elim, descidas 1 e 2",Canoe Single (C1) Men Heats 1st and 2nd Run,"Canoë monoplace (C1) - hommes, éliminatoires - manches 1 et 2","Canoa individual (C1) masculina, eliminatórias, descidas 1 e 2",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2
CS,M,210,M,6,Canoe Single (C1) Men Victory Ceremony,"Canoë mono (C1) - hom., remise médailles","C1 masculina, cer. premiação",Canoe Single (C1) Men Victory Ceremony,"Canoë monoplace (C1) - hommes, cérémonie de remise des médailles","Canoa individual (C1) masculina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CS,M,220,0,8,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,Canoe Double (C2) Men,Canoë biplace (C2) - hommes,Canoa dupla (C2) masculina,"","",""
CS,M,220,1,3,Canoe Double (C2) Men Final,"Canoë biplace (C2) - hommes, finale","Canoa dupla (C2) masculina, final",Canoe Double (C2) Men Final,"Canoë biplace (C2) - hommes, finale","Canoa dupla (C2) masculina, final",Final,Finale,Final
CS,M,220,2,3,Canoe Double (C2) Men Semi-final,"Canoë biplace (C2) - hommes, demi-finale","Canoa dupla (C2) masculina, semifinal",Canoe Double (C2) Men Semi-final,"Canoë biplace (C2) - hommes, demi-finale","Canoa dupla (C2) masculina, semifinal",Semi-final,Demi-finale,Semifinal
CS,M,220,9,3,Canoe Double (C2) Men Hts 1st and 2nd Rn,"C2 - hommes, élim. - manches 1 et 2","C2 masculina, elim, descidas 1 e 2",Canoe Double (C2) Men Heats 1st and 2nd Run,"Canoë biplace (C2) - hommes, éliminatoires - manches 1 et 2","Canoa dupla (C2) masculina, eliminatórias, descidas 1 e 2",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2
CS,M,220,M,6,Canoe Double (C2) Men Victory Ceremony,"Canoë bi (C2) - hom., remise médailles","C2 masculina, cer. premiação",Canoe Double (C2) Men Victory Ceremony,"Canoë biplace (C2) - hommes, cérémonie de remise des médailles","Canoa dupla (C2) masculina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CS,W,000,0,8,Women,Femmes,Feminino,Women,Femmes,Feminino,"","",""
CS,W,110,0,8,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,Kayak (K1) Women,Kayak monoplace (K1) - femmes,Caiaque individual (K1) feminino,"","",""
CS,W,110,1,3,Kayak (K1) Women Final,"Kayak mono (K1) - femmes, finale","Caiaque individual (K1) feminino, final",Kayak (K1) Women Final,"Kayak monoplace (K1) - femmes, finale","Caiaque individual (K1) feminino, final",Final,Finale,Final
CS,W,110,2,3,Kayak (K1) Women Semi-final,"Kayak mono (K1) - femmes, demi-finale","Caiaque individual (K1) feminino, 1/2",Kayak (K1) Women Semi-final,"Kayak monoplace (K1) - femmes, demi-finale","Caiaque individual (K1) feminino, semifinal",Semi-final,Demi-finale,Semifinal
CS,W,110,9,3,Kayak (K1) Women Heats 1st and 2nd Run,"K1 - femmes, élim. - manches 1 et 2","K1 feminino, elim, descidas 1 e 2",Kayak (K1) Women Heats 1st and 2nd Run,"Kayak monoplace (K1) - femmes, éliminatoires - manches 1 et 2","Caiaque individual (K1) feminino, eliminatórias, descidas 1 e 2",Heats 1st and 2nd Run,Éliminatoires - manches 1 et 2,Descidas 1 e 2
CS,W,110,M,6,Kayak (K1) Women Victory Ceremony,"Kayak mono (K1) - fem., remise médailles","K1 feminino, cer. premiação",Kayak (K1) Women Victory Ceremony,"Kayak monoplace (K1) - femmes, cérémonie de remise des médailles","Caiaque individual (K1) feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,0,000,0,8,Cycling Track,Cyclisme sur piste,Ciclismo de pista,Cycling Track,Cyclisme sur piste,Ciclismo de pista,,,
CT,0,000,Q,4,Cycling Track Team Managers' Meeting,Cyclisme piste-réunion directeurs équipe,"Ciclismo de pista, reunião chefes equipe",Cycling Track Team Managers' Meeting,Cyclisme sur piste - réunion des directeurs d'équipe,"Ciclismo de pista, reunião dos chefes de equipe",,,
CT,0,ROV,0,8,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,Rio Olympic Velodrome,Vélodrome olympique de Rio,Velódromo Olímpico do Rio,,,
CT,M,000,0,8,Men,Hommes,Masculino,Men,Hommes,Masculino,,,
CT,M,001,0,8,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,Men's Sprint,Vitesse individuelle - hommes,Velocidade masculino,,,
CT,M,001,1,3,Men's Sprint Finals,"Vitesse individuelle - hommes, finales","Velocidade masculino, finais",Men's Sprint Finals,"Vitesse individuelle - hommes, finales","Velocidade masculino, finais",Finals,Finales,Finais
CT,M,001,2,3,Men's Sprint Semifinals,"Vitesse individuelle - hom., 1/2 finales","Velocidade masculino, semifinais",Men's Sprint Semifinals,"Vitesse individuelle - hommes, demi-finales","Velocidade masculino, semifinais",Semifinals,Demi-finales,Semifinais
CT,M,001,3,3,Men's Sprint Quarterfinals,"Vitesse individuelle - hom., 1/4 finale","Velocidade masculino, quartas de final",Men's Sprint Quarterfinals,"Vitesse individuelle - hommes, quarts de finale","Velocidade masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
CT,M,001,4,3,Men's Sprint 1/8 Finals,"Vitesse individuelle - hom., 8e finale","Velocidade masculino, oitavas de final",Men's Sprint 1/8 Finals,"Vitesse individuelle - hommes, 8e de finale","Velocidade masculino, oitavas de final",1/8 Finals,8e de finale,Oitavas de Final
CT,M,001,8,3,Men's Sprint 1/16 Finals,"Vitesse individuelle - hom., 16e finale","Velocidade masculino, primeira fase",Men's Sprint 1/16 Finals,"Vitesse individuelle - hommes, 16e de finale","Velocidade masculino, primeira fase",1/16 Finals,16e de finale,Primeira fase
CT,M,001,9,3,Men's Sprint Qualifying,"Vitesse individuelle - hom., qualif.","Velocidade masculino, classificatórias",Men's Sprint Qualifying,"Vitesse individuelle - hommes, qualifications","Velocidade masculino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,M,001,M,6,Men's Sprint Victory Ceremony,"Vitesse individuelle - hom., remise méd.","Velocidade masculino, cer. premiação",Men's Sprint Victory Ceremony,"Vitesse individuelle - hommes, cérémonie de remise des médailles","Velocidade masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,M,008,0,8,Men's Keirin,Keirin - hommes,Keirin masculino,Men's Keirin,Keirin - hommes,Keirin masculino,"","",""
CT,M,008,1,3,Men's Keirin Finals,"Keirin - hommes, finales","Keirin masculino, finais",Men's Keirin Finals,"Keirin - hommes, finales","Keirin masculino, finais",Finals,Finales,Finais
CT,M,008,7,3,Men's Keirin Second Round,"Keirin - hommes, 2e tour","Keirin masculino, segunda fase",Men's Keirin Second Round,"Keirin - hommes, 2e tour","Keirin masculino, segunda fase",Second Round,2e tour,Segunda fase
CT,M,008,8,3,Men's Keirin First Round,"Keirin - hommes, 1er tour","Keirin masculino, primeira fase",Men's Keirin First Round,"Keirin - hommes, 1er tour","Keirin masculino, primeira fase",First Round,1er tour,Primeira fase
CT,M,008,M,6,Men's Keirin Victory Ceremony,"Keirin - hommes, remise des médailles","Keirin masculino, cer. premiação",Men's Keirin Victory Ceremony,"Keirin - hommes, cérémonie de remise des médailles","Keirin masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,M,010,0,8,Men's Omnium,Omnium - hommes,Omnium masculino,Men's Omnium,Omnium - hommes,Omnium masculino,"","",""
CT,M,010,1,3,Men's Omnium Points Race,"Omnium - hommes, course aux points","Omnium masculino, corrida por pontos",Men's Omnium Points Race,"Omnium - hommes, course aux points","Omnium masculino, corrida por pontos",Points Race,Course aux points,Corrida por pontos
CT,M,010,2,3,Men's Omnium Flying Lap,"Omnium - hommes, tour lancé","Omnium masculino, volta lançada",Men's Omnium Flying Lap,"Omnium - hommes, tour lancé","Omnium masculino, volta lançada",Flying Lap,Tour lancé,Volta lançada
CT,M,010,3,3,Men's Omnium 1km Time Trial,"Omnium - hommes, contre-la-montre (1 km)","Omnium masculino, contrarrelógio de 1km",Men's Omnium 1km Time Trial,"Omnium - hommes, contre-la-montre (1 km)","Omnium masculino, contrarrelógio de 1km",1km Time Trial,Contre-la-montre (1 km),Contrarrelógio de 1km
CT,M,010,4,3,Men's Omnium Elimination Race,"Omnium - hommes, course à l'élimination","Omnium masculino, corrida de eliminação",Men's Omnium Elimination Race,"Omnium - hommes, course à l'élimination","Omnium masculino, corrida de eliminação",Elimination Race,Course à l'élimination,Corrida de eliminação
CT,M,010,5,3,Men's Omnium Individual Pursuit,"Omnium - hommes, poursuite individuelle","Omnium masculino, perseguição individual",Men's Omnium Individual Pursuit,"Omnium - hommes, poursuite individuelle","Omnium masculino, perseguição individual",Individual Pursuit,Poursuite individuelle,Perseguição individual
CT,M,010,6,3,Men's Omnium Scratch Race,"Omnium - hommes, scratch","Omnium masculino, scratch",Men's Omnium Scratch Race,"Omnium - hommes, scratch","Omnium masculino, scratch",Scratch Race,Scratch,Scratch
CT,M,010,M,6,Men's Omnium Victory Ceremony,"Omnium - hommes, remise des médailles","Omnium masculino, cer. premiação",Men's Omnium Victory Ceremony,"Omnium - hommes, cérémonie de remise des médailles","Omnium masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,M,401,0,8,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculino,"","",""
CT,M,401,1,3,Men's Team Sprint Finals,"Vitesse par équipes - hommes, finales","Velocidade por equipes masculino, finais",Men's Team Sprint Finals,"Vitesse par équipes - hommes, finales","Velocidade por equipes masculino, finais",Finals,Finales,Finais
CT,M,401,8,3,Men's Team Sprint First Round,"Vitesse par équipes - hommes, 1er tour","Velocidade por equipes masc, 1a fase",Men's Team Sprint First Round,"Vitesse par équipes - hommes, 1er tour","Velocidade por equipes masculino, primeira fase",First Round,1er tour,Primeira fase
CT,M,401,9,3,Men's Team Sprint Qualifying,"Vitesse par équipes - hom., qualif.","Velocidade por equipes masc, classific",Men's Team Sprint Qualifying,"Vitesse par équipes - hommes, qualifications","Velocidade por equipes masculino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,M,401,M,6,Men's Team Sprint Victory Ceremony,"Vitesse par équipes - hom., remise méd.","Velocidade equipes masc, cer. premiação",Men's Team Sprint Victory Ceremony,"Vitesse par équipes - hommes, cérémonie de remise des médailles","Velocidade por equipes masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,M,402,0,8,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculino,"","",""
CT,M,402,1,3,Men's Team Pursuit Finals,"Poursuite par équipes - hommes, finales","Perseguição por equipes masc, finais",Men's Team Pursuit Finals,"Poursuite par équipes - hommes, finales","Perseguição por equipes masculino, finais",Finals,Finales,Finais
CT,M,402,8,3,Men's Team Pursuit First Round,"Poursuite par équipes - hommes, 1er tour","Perseguição por equipes masc, 1a fase",Men's Team Pursuit First Round,"Poursuite par équipes - hommes, 1er tour","Perseguição por equipes masculino, primeira fase",First Round,1er tour,Primeira fase
CT,M,402,9,3,Men's Team Pursuit Qualifying,"Poursuite équipes - hom., qualifications","Perseguição por equipes masc,  classific",Men's Team Pursuit Qualifying,"Poursuite par équipes - hommes, qualifications","Perseguição por equipes masculino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,M,402,M,6,Men's Team Pursuit Victory Ceremony,"Poursuite équipes - hom., remise méd.","Perseguição equipes masc, cer. premiação",Men's Team Pursuit Victory Ceremony,"Poursuite par équipes - hommes, cérémonie de remise des médailles","Perseguição por equipes masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,W,000,0,8,Women,Femmes,Feminino,Women,Femmes,Feminino,"","",""
CT,W,001,0,8,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,Women's Sprint,Vitesse individuelle - femmes,Velocidade feminino,"","",""
CT,W,001,1,3,Women's Sprint Finals,"Vitesse individuelle - femmes, finales","Velocidade feminino, finais",Women's Sprint Finals,"Vitesse individuelle - femmes, finales","Velocidade feminino, finais",Finals,Finales,Finais
CT,W,001,2,3,Women's Sprint Semifinals,"Vitesse individuelle - fem., 1/2 finales","Velocidade feminino, semifinais",Women's Sprint Semifinals,"Vitesse individuelle - femmes, demi-finales","Velocidade feminino, semifinais",Semifinals,Demi-finales,Semifinais
CT,W,001,3,3,Women's Sprint Quarterfinals,"Vitesse individuelle - fem., 1/4 finale","Velocidade feminino, quartas de final",Women's Sprint Quarterfinals,"Vitesse individuelle - femmes, quarts de finale","Velocidade feminino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
CT,W,001,4,3,Women's Sprint 1/8 Finals,"Vitesse individuelle - fem., 8e finale","Velocidade feminino, oitavas de final",Women's Sprint 1/8 Finals,"Vitesse individuelle - femmes, 8e de finale","Velocidade feminino, oitavas de final",1/8 Finals,8e de finale,Oitavas de Final
CT,W,001,8,3,Women's Sprint 1/16 Finals,"Vitesse individuelle - fem., 16e finale","Velocidade feminino, primeira fase",Women's Sprint 1/16 Finals,"Vitesse individuelle - femmes, 16e de finale","Velocidade feminino, primeira fase",1/16 Finals,16e de finale,Primeira fase
CT,W,001,9,3,Women's Sprint Qualifying,"Vitesse individuelle - fem., qualif.","Velocidade feminino, classificatórias",Women's Sprint Qualifying,"Vitesse individuelle - femmes, qualifications","Velocidade feminino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,W,001,M,6,Women's Sprint Victory Ceremony,"Vitesse individuelle - fem., remise méd.","Velocidade feminino, cer. premiação",Women's Sprint Victory Ceremony,"Vitesse individuelle - femmes, cérémonie de remise des médailles","Velocidade feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,W,008,0,8,Women's Keirin,Keirin - femmes,Keirin feminino,Women's Keirin,Keirin - femmes,Keirin feminino,"","",""
CT,W,008,1,3,Women's Keirin Finals,"Keirin - femmes, finales","Keirin feminino, finais",Women's Keirin Finals,"Keirin - femmes, finales","Keirin feminino, finais",Finals,Finales,Finais
CT,W,008,7,3,Women's Keirin Second Round,"Keirin - femmes, 2e tour","Keirin feminino, segunda fase",Women's Keirin Second Round,"Keirin - femmes, 2e tour","Keirin feminino, segunda fase",Second Round,2e tour,Segunda fase
CT,W,008,8,3,Women's Keirin First Round,"Keirin - femmes, 1er tour","Keirin feminino, primeira fase",Women's Keirin First Round,"Keirin - femmes, 1er tour","Keirin feminino, primeira fase",First Round,1er tour,Primeira fase
CT,W,008,M,6,Women's Keirin Victory Ceremony,"Keirin - femmes, remise des médailles","Keirin feminino, cer. premiação",Women's Keirin Victory Ceremony,"Keirin - femmes, cérémonie de remise des médailles","Keirin feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,W,010,0,8,Women's Omnium,Omnium - femmes,Omnium feminino,Women's Omnium,Omnium - femmes,Omnium feminino,"","",""
CT,W,010,1,3,Women's Omnium Points Race,"Omnium - femmes, course aux points","Omnium feminino, corrida por pontos",Women's Omnium Points Race,"Omnium - femmes, course aux points","Omnium feminino, corrida por pontos",Points Race,Course aux points,Corrida por pontos
CT,W,010,2,3,Women's Omnium Flying Lap,"Omnium - femmes, tour lancé","Omnium feminino, volta lançada",Women's Omnium Flying Lap,"Omnium - femmes, tour lancé","Omnium feminino, volta lançada",Flying Lap,Tour lancé,Volta lançada
CT,W,010,3,3,Women's Omnium 500m Time Trial,"Omnium - femmes,contre-la-montre (500 m)","Omnium feminino, contrarrelógio de 500m",Women's Omnium 500m Time Trial,"Omnium - femmes, contre-la-montre (500 m)","Omnium feminino, contrarrelógio de 500m",500m Time Trial,Contre-la-montre (500 m),Contrarrelógio de 500m
CT,W,010,4,3,Women's Omnium Elimination Race,"Omnium - femmes, course à l'élimination","Omnium feminino, corrida de eliminação",Women's Omnium Elimination Race,"Omnium - femmes, course à l'élimination","Omnium feminino, corrida de eliminação",Elimination Race,Course à l'élimination,Corrida de eliminação
CT,W,010,5,3,Women's Omnium Individual Pursuit,"Omnium - femmes, poursuite individuelle","Omnium feminino, perseguição individual",Women's Omnium Individual Pursuit,"Omnium - femmes, poursuite individuelle","Omnium feminino, perseguição individual",Individual Pursuit,Poursuite individuelle,Perseguição individual
CT,W,010,6,3,Women's Omnium Scratch Race,"Omnium - femmes, scratch","Omnium feminino, scratch",Women's Omnium Scratch Race,"Omnium - femmes, scratch","Omnium feminino, scratch",Scratch Race,Scratch,Scratch
CT,W,010,M,6,Women's Omnium Victory Ceremony,"Omnium - femmes, remise des médailles","Omnium feminino, cer. premiação",Women's Omnium Victory Ceremony,"Omnium - femmes, cérémonie de remise des médailles","Omnium feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,W,401,0,8,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminino,"","",""
CT,W,401,1,3,Women's Team Sprint Finals,"Vitesse par équipes - femmes, finales","Velocidade por equipes feminino, finais",Women's Team Sprint Finals,"Vitesse par équipes - femmes, finales","Velocidade por equipes feminino, finais",Finals,Finales,Finais
CT,W,401,8,3,Women's Team Sprint First Round,"Vitesse par équipes - femmes, 1er tour","Velocidade por equipes feminino, 1a fase",Women's Team Sprint First Round,"Vitesse par équipes - femmes, 1er tour","Velocidade por equipes feminino, primeira fase",First Round,1er tour,Primeira fase
CT,W,401,9,3,Women's Team Sprint Qualifying,"Vitesse par équipes - fem., qualif.","Velocidade por equipes fem, classific",Women's Team Sprint Qualifying,"Vitesse par équipes - femmes, qualifications","Velocidade por equipes feminino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,W,401,M,6,Women's Team Sprint Victory Ceremony,"Vitesse par équipes - fem., remise méd.","Velocidade equipes fem, cer. premiação",Women's Team Sprint Victory Ceremony,"Vitesse par équipes - femmes, cérémonie de remise des médailles","Velocidade por equipes feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CT,W,402,0,8,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminino,"","",""
CT,W,402,1,3,Women's Team Pursuit Finals,"Poursuite par équipes - femmes, finales","Perseguição por equipes feminino, finais",Women's Team Pursuit Finals,"Poursuite par équipes - femmes, finales","Perseguição por equipes feminino, finais",Finals,Finales,Finais
CT,W,402,8,3,Women's Team Pursuit First Round,"Poursuite par équipes - femmes, 1er tour","Perseguição por equipes feminino,1a fase",Women's Team Pursuit First Round,"Poursuite par équipes - femmes, 1er tour","Perseguição por equipes feminino, primeira fase",First Round,1er tour,Primeira fase
CT,W,402,9,3,Women's Team Pursuit Qualifying,"Poursuite équipes - fem., qualifications","Perseguição por equipes fem, classific",Women's Team Pursuit Qualifying,"Poursuite par équipes - femmes, qualifications","Perseguição por equipes feminino, classificatórias",Qualifying,Qualifications,Classificatórias
CT,W,402,M,6,Women's Team Pursuit Victory Ceremony,"Poursuite équipes - fem., remise méd.","Perseguição equipes fem, cer. premiação",Women's Team Pursuit Victory Ceremony,"Poursuite par équipes - femmes, cérémonie de remise des médailles","Perseguição por equipes feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
CY,0,000,0,8,Cycling Sport,Cyclisme,Ciclismo,Cycling Sport,Cyclisme,Ciclismo,"","",""
DV,0,000,0,8,Diving,Plongeon,Saltos ornamentais,Diving,Plongeon,Saltos ornamentais,"","",""
DV,0,000,N,7,Diving Draw,"Plongeon, tirage au sort","Saltos ornamentais, sorteio",Diving Draw,"Plongeon, tirage au sort","Saltos ornamentais, sorteio","","",""
DV,0,AQC,0,8,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,Maria Lenk Aquatic Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,"","",""
DV,M,000,0,8,Men,Hommes,Masculino,Men,Hommes,Masculino,"","",""
DV,M,003,0,8,Men's 3m Springboard,Tremplin 3 m - hommes,Trampolim 3m masculino,Men's 3m Springboard,Tremplin 3 m - hommes,Trampolim 3m masculino,"","",""
DV,M,003,1,3,Men's 3m Springboard Final,"Tremplin 3 m - hommes, finale","Trampolim 3m masculino, final",Men's 3m Springboard Final,"Tremplin 3 m - hommes, finale","Trampolim 3m masculino, final",Final,Finale,Final
DV,M,003,2,3,Men's 3m Springboard Semifinal,"Tremplin 3 m - hommes, demi-finale","Trampolim 3m masculino, semifinal",Men's 3m Springboard Semifinal,"Tremplin 3 m - hommes, demi-finale","Trampolim 3m masculino, semifinal",Semifinal,Demi-finale,Semifinal
DV,M,003,9,3,Men's 3m Springboard Preliminary,"Tremplin 3 m - hommes, éliminatoires","Trampolim 3m masc, fase classificatória",Men's 3m Springboard Preliminary,"Tremplin 3 m - hommes, éliminatoires","Trampolim 3m masculino, fase classificatória",Preliminary,Éliminatoires,Fase classificatória
DV,M,003,M,6,Men's 3m Springboard Victory Ceremony,"Tremplin 3 m - hommes, remise médailles","Trampolim 3m masc, cer. premiação",Men's 3m Springboard Victory Ceremony,"Tremplin 3 m - hommes, cérémonie de remise des médailles","Trampolim 3m masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
DV,M,010,0,8,Men's 10m Platform,Haut-vol 10 m - hommes,Plataforma 10m masculino,Men's 10m Platform,Haut-vol 10 m - hommes,Plataforma 10m masculino,"","",""
DV,M,010,1,3,Men's 10m Platform Final,"Haut-vol 10 m - hommes, finale","Plataforma 10m masculino, final",Men's 10m Platform Final,"Haut-vol 10 m - hommes, finale","Plataforma 10m masculino, final",Final,Finale,Final
DV,M,010,2,3,Men's 10m Platform Semifinal,"Haut-vol 10 m - hommes, demi-finale","Plataforma 10m masculino, semifinal",Men's 10m Platform Semifinal,"Haut-vol 10 m - hommes, demi-finale","Plataforma 10m masculino, semifinal",Semifinal,Demi-finale,Semifinal
DV,M,010,9,3,Men's 10m Platform Preliminary,"Haut-vol 10 m - hommes, éliminatoires","Plataforma 10m masculino, fase classific",Men's 10m Platform Preliminary,"Haut-vol 10 m - hommes, éliminatoires","Plataforma 10m masculino, fase classificatória",Preliminary,Éliminatoires,Fase classificatória
DV,M,010,M,6,Men's 10m Platform Victory Ceremony,"Haut-vol 10 m - hommes, remise médailles","Plataforma 10m masculino, cer. premiação",Men's 10m Platform Victory Ceremony,"Haut-vol 10 m - hommes, cérémonie de remise des médailles","Plataforma 10m masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
DV,M,203,0,8,Men's Synchronised 3m Springboard,Tremplin 3 m synchronisé - hommes,Trampolim 3m sincronizado masculino,Men's Synchronised 3m Springboard,Tremplin 3 m synchronisé - hommes,Trampolim 3m sincronizado masculino,"","",""
DV,M,203,1,3,Men's Synchronised 3m Springboard Final,"Tremplin 3 m synchronisé - hom., finale","Trampolim 3m sincronizado masc, final",Men's Synchronised 3m Springboard Final,"Tremplin 3 m synchronisé - hommes, finale","Trampolim 3m sincronizado masculino, final",Final,Finale,Final
DV,M,203,M,6,Men's Synchronised 3m Springboard VC,"Tremplin 3 m synchro. hom., remise méd.","Trampolim 3m sincro masc, cer. premiação",Men's Synchronised 3m Springboard Victory Ceremony,"Tremplin 3 m synchronisé - hommes, cérémonie de remise des médailles","Trampolim 3m sincronizado masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
DV,M,210,0,8,Men's Synchronised 10m Platform,Haut-vol 10 m synchronisé - hommes,Plataforma 10m sincronizada masculino,Men's Synchronised 10m Platform,Haut-vol 10 m synchronisé - hommes,Plataforma 10m sincronizada masculino,"","",""
DV,M,210,1,3,Men's Synchronised 10m Platform Final,"Haut-vol 10 m synchronisé - hom., finale","Plataforma 10m sincronizada masc, final",Men's Synchronised 10m Platform Final,"Haut-vol 10 m synchronisé - hommes, finale","Plataforma 10m sincronizada masculino, final",Final,Finale,Final
DV,M,210,M,6,Men's Synchronised 10m Platform VC,"Haut-vol 10 m synchro. hom., remise méd.","Plataforma 10m sincro masc, premiação",Men's Synchronised 10m Platform Victory Ceremony,"Haut-vol 10 m synchronisé - hommes, cérémonie de remise des médailles","Plataforma 10m sincronizada masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
DV,W,000,0,8,Women,Femmes,Feminino,Women,Femmes,Feminino,"","",""
DV,W,003,0,8,Women's 3m Springboard,Tremplin 3 m - femmes,Trampolim 3m feminino,Women's 3m Springboard,Tremplin 3 m - femmes,Trampolim 3m feminino,"","",""
DV,W,003,1,3,Women's 3m Springboard Final,"Tremplin 3 m - femmes, finale","Trampolim 3m feminino, final",Women's 3m Springboard Final,"Tremplin 3 m - femmes, finale","Trampolim 3m feminino, final",Final,Finale,Final
DV,W,003,2,3,Women's 3m Springboard Semifinal,"Tremplin 3 m - femmes, demi-finale","Trampolim 3m feminino, semifinal",Women's 3m Springboard Semifinal,"Tremplin 3 m - femmes, demi-finale","Trampolim 3m feminino, semifinal",Semifinal,Demi-finale,Semifinal
DV,W,003,9,3,Women's 3m Springboard Preliminary,"Tremplin 3 m - femmes, éliminatoires","Trampolim 3m fem, fase classificatória",Women's 3m Springboard Preliminary,"Tremplin 3 m - femmes, éliminatoires","Trampolim 3m feminino, fase classificatória",Preliminary,Éliminatoires,Fase classificatória
DV,W,003,M,6,Women's 3m Springboard Victory Ceremony,"Tremplin 3 m - femmes, remise médailles","Trampolim 3m fem, cer. premiação",Women's 3m Springboard Victory Ceremony,"Tremplin 3 m - femmes, cérémonie de remise des médailles","Trampolim 3m feminino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
DV,W,010,0,8,Women's 10m Platform,Haut-vol 10 m - femmes,Plataforma 10m feminino,Women's 10m Platform,Haut-vol 10 m - femmes,Plataforma 10m feminino,"","",""
DV,W,010,1,3,Women's 10m Platform Final,"Haut-vol 10 m - femmes, finale","Plataforma 10m feminino, final",Women's 10m Platform Final,"Haut-vol 10 m - femmes, finale","Plataforma 10m feminino, final",Final,Finale,Final
